Locus	Gene
YAL040C_1	CLN3_1
YBR160W_1	CDC28_1
YER111C_1	SWI4_1
YLR182W_1	SWI6_1
YMR199W_1	CLN1_1
YPL256C_1	CLN2_1
YLR079W_1	SIC1_1
YDL056W_1	MBP1_1
YGR109C_1	CLB6_1
YPR120C_1	CLB5_1
YJL194W_1	CDC6_1
YML065W_1	ORC1_1
YBR060C_1	ORC2_1
YLL004W_1	ORC3_1
YPR162C_1	ORC4_1
YNL261W_1	ORC5_1
YHR118C_1	ORC6_1
YBL023C_1	MCM2_1
YEL032W_1	MCM3_1
YPR019W_1	MCM4_1
YLR274W_1	MCM5_1
YGL201C_1	MCM6_1
YBR202W_1	MCM7_1
YJR046W_1	TAH11_1
YDL017W_1	CDC7_1
YDR052C_1	DBF4_1
YLR103C_1	CDC45_1
YMR043W_1	MCM1_1
YML027W_1	YOX1_1
YDR451C_1	YHP1_1
YOR083W_1	WHI5_1
YBL016W_1	FUS3_1
YGR040W_1	KSS1_1
YJL157C_1	FAR1_1
YNL172W_1	APC1_1
YLR127C_1	APC2_1
YBL084C_1	CDC27_1
YDR118W_1	APC4_1
YOR249C_1	APC5_1
YKL022C_1	CDC16_1
YHR166C_1	CDC23_1
YLR102C_1	APC9_1
YGL240W_1	DOC1_1
YDL008W_1	APC11_1
YFR036W_1	CDC26_1
YDR260C_1	SWM1_1
YGL116W_1	CDC20_1
YDR328C_1	SKP1_1
YDL132W_1	CDC53_1
YOL133W_1	HRT1_1
YJR090C_1	GRR1_1
YFL009W_1	CDC4_1
YNL289W_1	PCL1_1
YDL127W_1	PCL2_1
YDL179W_1	PCL9_1
YPL031C_1	PHO85_1
YGR233C_1	PHO81_1
YOL001W_1	PHO80_1
YFR034C_1	PHO4_1
YDL106C_1	PHO2_1
YAR071W_1	PHO11_1
YBR093C_1	PHO5_1
YHR215W_1	PHO12_1
YDL155W_1	CLB3_1
YLR210W_1	CLB4_1
YDL028C_1	MPS1_1
YGL086W_1	MAD1_1
YJL030W_1	MAD2_1
YJL013C_1	MAD3_1
YGR188C_1	BUB1_1
YOR026W_1	BUB3_1
YGR113W_1	DAM1_1
YBR274W_1	CHK1_1
YDR113C_1	PDS1_1
YGR098C_1	ESP1_1
YOR195W_1	SLK19_1
YGL190C_1	CDC55_1
YDL134C_1	PPH21_1
YDL188C_1	PPH22_1
YAL016W_1	TPD3_1
YHR152W_1	SPO12_1
YDR110W_1	FOB1_1
YJL076W_1	NET1_1
YMR001C_1	CDC5_1
YJR053W_1	BFA1_1
YMR055C_1	BUB2_1
YAL024C_1	LTE1_1
YML064C_1	TEM1_1
YAR019C_1	CDC15_1
YGR092W_1	DBF2_1
YPR111W_1	DBF20_1
YIL106W_1	MOB1_1
YFR028C_1	CDC14_1
YDR146C_1	SWI5_1
YGL003C_1	CDH1_1
YGR108W_1	CLB1_1
YPR119W_1	CLB2_1
YMR036C_1	MIH1_1
YFL029C_1	CAK1_1
YBR135W_1	CKS1_1
YJL187C_1	SWE1_1
YIL046W_1	MET30_1
YCL024W_1	KCC4_1
