Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	mitotic cell cycle phase transition (GO:0044772)	30/54	8.23254961797121e-53	3.3177174960423976e-50	3.302518163360096e-27	1.3309148198341179e-24	-1.5590749388256475	186.97816451732842	CLB6;SIC1;CLB5;CLB4;MET30;PPH22;CLB3;CLB2;HRT1;CLB1;PPH21;CLN3;HSL1;CLN2;TEM1;CLN1;HSL7;SWE1;CDC28;DBF20;SKP1;APC2;MIH1;APC1;CDC6;GRR1;CDC5;CDC4;CDC53;CAK1
GO_Biological_Process_2018	cell cycle G2/M phase transition (GO:0044839)	17/25	2.3070113986060746e-32	4.648627968191241e-30	9.081424505555802e-17	1.8299070378694935e-14	-1.8916902024154163	137.8035211920745	MIH1;CLB6;CLB5;CLB4;CLB3;CLB2;CLB1;CDC4;CDC53;CLN3;HSL1;CLN2;CLN1;HSL7;SWE1;CAK1;SKP1
GO_Biological_Process_2018	pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267)	15/21	3.5628670808136406e-29	2.871670867135795e-27	3.880193161174466e-15	3.1274356879066183e-13	-1.8731979266321999	122.70271022955838	MCM7;TAH11;CDC6;ORC5;ORC4;CDC45;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Biological_Process_2018	anaphase-promoting complex-dependent catabolic process (GO:0031145)	12/15	1.5135366207771004e-24	4.356823272665515e-23	9.867108942721691e-13	2.8403177885120303e-11	-2.0121239640999	110.36015662392721	APC2;CDC20;APC1;CDC23;CDC26;CDC16;CDC27;DOC1;APC11;APC4;APC5;SWM1
GO_Biological_Process_2018	regulation of cell proliferation (GO:0042127)	10/11	1.0351250058747472e-21	1.7381474056980138e-20	3.6181518323348555e-11	6.943405659194987e-10	-2.2693029863095777	109.65218645590707	CLN3;CLB6;CLN2;CLB5;CLN1;CLB4;CLB3;CLB2;CLB1;CDC28
GO_Biological_Process_2018	regulation of protein serine/threonine kinase activity (GO:0071900)	16/28	1.1130161591383005e-28	5.6103471904532605e-27	5.895623929105279e-15	3.214159033937244e-13	-1.6921464577349872	108.91552964753893	MIH1;CLB6;SIC1;CLB5;CLB4;CLB3;CLB2;PHO80;CLB1;CLN3;CLN2;CLN1;DBF4;SWE1;PCL2;PCL1
GO_Biological_Process_2018	regulation of spindle pole body separation (GO:0010695)	9/10	1.5547248963435324e-19	2.088513777421479e-18	3.892344366121416e-10	6.535894914778879e-09	-2.4152573048308255	104.59952414896999	CLB5;CLB4;CDH1;CLB3;CLB2;CLB1;SWE1;CDC28;CDC5
GO_Biological_Process_2018	G2/M transition of mitotic cell cycle (GO:0000086)	17/27	1.7802945514012154e-31	2.3915290140489658e-29	2.3407388258814857e-16	2.933570226305361e-14	-1.4772562552950943	104.59470505825787	MIH1;CLB6;CLB5;CLB4;CLB3;CLB2;CLB1;CDC4;CDC53;CLN3;HSL1;CLN2;CLN1;HSL7;SWE1;CAK1;SKP1
GO_Biological_Process_2018	regulation of mitotic nuclear division (GO:0007088)	18/34	2.5481004534194967e-31	2.567211206820146e-29	2.9117322345462643e-16	2.933570226305361e-14	-1.3936598211825186	98.17607304645516	CLB6;CLB5;CLB4;SPO12;CLB3;CLB2;CLB1;ESP1;NET1;CLN3;CLN2;TEM1;CLN1;CDC14;MOB1;CDC15;LTE1;SKP1
GO_Biological_Process_2018	regulation of cyclin-dependent protein kinase activity (GO:1904029)	15/22	1.1137165638616894e-28	5.6103471904532605e-27	6.380464583498252e-15	3.214159033937244e-13	-1.5091877535533962	97.13838670525827	MIH1;CLB6;SIC1;CLB5;CLB4;CLB3;CLB2;PHO80;CLB1;CLN3;CLN2;CLN1;SWE1;PCL2;PCL1
