Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	nucleus (GO:0005634)	91/1599	1.4513782811374097e-69	1.1030474936644311e-67	7.615107909540248e-16	1.446870502812647e-14	-1.5655556829259734	248.1497464134464	SIC1;MCM7;SPO12;KSS1;TUP1;PHO80;LCD1;KCC4;PPH21;SMC3;SMC4;SMC1;CDC20;HSL1;MBP1;CDH1;CDC26;HSL7;MRC1;PDS1;CDC28;PHO4;PHO81;PHO85;PHO2;SKP1;MIH1;MAD1;APC1;MCD1;GIN4;IRR1;RFX1;APC11;ESP1;DBF4;WHI5;MCM3;CKS1;MCM4;SCC2;FAR1;MCM5;CAK1;MCM6;PCL2;PCL1;MCM1;MCM2;CLB6;MEC1;RAD9;CLB5;CLB4;MET30;CLB3;CLB2;HRT1;YOX1;CLB1;TPD3;SWM1;CLN3;DDC1;CLN2;CDC45;CLN1;CYC8;DUN1;ORC1;RAD24;SWI6;SWE1;SWI5;BUB1;APC4;APC5;TAH11;CDC7;CDC6;GRR1;BRN1;CDC5;CDC4;FUS3;RAD53;CDC55;CHK1;CDC14;CDC16;RAD17
GO_Cellular_Component_2018	cullin-RING ubiquitin ligase complex (GO:0031461)	21/49	7.281073147058361e-34	1.3834038979410887e-32	4.400511090238658e-17	1.6721942142906875e-15	-1.9220261977006519	146.65562479113814	APC2;APC1;MET30;HRT1;GRR1;APC11;CDC4;SWM1;CDC20;CDC53;CDC23;CDH1;CDC26;CDC16;CDC27;CKS1;DOC1;APC9;APC4;APC5;SKP1
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	38/274	3.761612592539613e-40	1.4294127851650524e-38	7.2770152237458245e-16	1.446870502812647e-14	-1.5265136772363077	138.5747072930173	MCM7;PPH22;MPS1;YOX1;SCC4;SWI4;SMC4;SLK19;SMC2;ORC5;ORC4;MBP1;CDC45;ORC6;ORC1;RAD24;ORC3;SWI6;MRC1;ORC2;YHP1;BUB3;BUB1;MAD3;MAD2;MAD1;YCS4;MCD1;BRN1;CHK1;MCM3;MCM4;SCC2;MCM5;MCM6;YCG1;MCM1;MCM2
GO_Cellular_Component_2018	nuclear pre-replicative complex (GO:0005656)	15/18	5.445357014769721e-31	8.276942662449985e-30	1.2449859452317534e-15	1.8923786367522653e-14	-1.857935346034852	129.47092049879973	MCM7;TAH11;CDC6;ORC5;ORC4;CDC45;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Cellular_Component_2018	nuclear ubiquitin ligase complex (GO:0000152)	17/22	5.70805454623346e-34	1.3834038979410887e-32	3.3305980610154114e-17	1.6721942142906875e-15	-1.5136954990444826	115.86735823319486	APC2;APC1;MET30;HRT1;APC11;CDC4;SWM1;CDC20;CDC23;CDH1;CDC26;CDC16;CDC27;DOC1;APC9;APC4;APC5
GO_Cellular_Component_2018	anaphase-promoting complex (GO:0005680)	14/17	7.817783052389729e-29	8.487878742594563e-28	1.3176906666393603e-14	1.6690748444098573e-13	-1.596678749547002	103.3347601184578	APC2;APC1;APC11;SWM1;CDC20;CDC23;CDH1;CDC26;CDC16;CDC27;DOC1;APC9;APC4;APC5
GO_Cellular_Component_2018	microtubule organizing center (GO:0005815)	21/76	4.706061952417314e-29	5.9610118063952595e-28	6.189491069020784e-14	6.720018874936852e-13	-1.4184310660662696	92.5187495965723	CLB6;CLB5;CLB4;CLB3;MPS1;CLB2;CLB1;BFA1;TPD3;ESP1;CLN3;CLN2;TEM1;CLN1;CDC14;DBF2;MOB1;CDC15;CDC28;DBF20;BUB2
GO_Cellular_Component_2018	centrosome (GO:0005813)	11/22	3.772746959109707e-19	3.584109611154224e-18	5.387795531114981e-10	5.1184057545592295e-09	-1.5300852987034832	64.90822797644152	CLN3;CLB6;CLN2;CLB5;CLN1;CLB4;CDC14;CLB3;CLB2;CLB1;ESP1
GO_Cellular_Component_2018	nuclear origin of replication recognition complex (GO:0005664)	6/8	1.859951608271571e-12	1.0873563248356866e-11	9.92239013668974e-07	6.284180419903497e-06	-2.394309754337335	64.67143333600278	ORC5;ORC4;ORC6;ORC1;ORC3;ORC2
GO_Cellular_Component_2018	spindle pole body (GO:0005816)	15/78	2.1063955295177103e-18	1.7787340027038442e-17	2.312946664469332e-08	1.9531549611074355e-07	-1.4987357982874483	61.000875226945666	CLB4;MPS1;CLB2;BFA1;TPD3;TEM1;CDC14;DBF2;MOB1;CDC15;HSL7;CDC28;DBF20;BUB2;DAM1
