Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	sequence-specific double-stranded DNA binding (GO:1990837)	25/62	2.210572903690932e-39	2.520053110207662e-37	3.1905032720054325e-18	3.6371737300861955e-16	-1.7516655077943848	155.91148489314082	MCM7;SMC1;SMC2;ORC5;ORC4;CDC45;ORC6;ORC1;ORC3;ORC2;PHO4;SKP1;TAH11;CDC6;CDC5;CDC53;NET1;RAD53;DBF4;MCM3;MCM4;MCM5;MCM6;MCM1;MCM2
GO_Molecular_Function_2018	protein kinase activity (GO:0004672)	30/137	6.035790600195568e-38	3.4404006421114686e-36	1.3995419627067404e-15	5.3182594582856115e-14	-1.4344679071065134	122.93465515216872	CLB6;MEC1;CLB5;CLB4;CLB3;KSS1;MPS1;CLB2;CLB1;KCC4;CLN3;HSL1;CLN2;CLN1;DUN1;SWE1;CDC28;DBF20;BUB1;PHO85;MAD3;GIN4;CDC7;CDC5;FUS3;RAD53;CHK1;DBF2;CDC15;CAK1
GO_Molecular_Function_2018	DNA replication origin binding (GO:0003688)	20/36	2.6336226461342693e-35	1.0007766055310233e-33	8.586169221022435e-17	4.894116455982789e-15	-1.4715309623255222	117.16641181168987	MCM7;TAH11;CDC6;CDC53;ORC5;ORC4;RAD53;CDC45;DBF4;ORC6;ORC1;ORC3;ORC2;MCM3;MCM4;MCM5;MCM6;MCM1;MCM2;SKP1
GO_Molecular_Function_2018	cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	17/31	5.477466143122039e-30	1.56107785078978e-28	2.534797993125082e-14	7.224174280406477e-13	-1.496624210068301	100.83791497264349	CLB6;SIC1;CLB5;CLB4;CLB3;PCL9;CLB2;PHO80;CLB1;CLN3;CLN2;CLN1;CKS1;PHO81;FAR1;PCL2;PCL1
GO_Molecular_Function_2018	kinase activity (GO:0016301)	26/158	2.0091908366044384e-29	3.8174625895484386e-28	5.074482686448174e-11	9.641517104251524e-10	-1.4857522153932254	98.17439921640239	CLB6;MEC1;CLB5;CLB4;CLB3;KSS1;MPS1;CLB2;CLB1;KCC4;CLN3;HSL1;CLN2;CLN1;DUN1;SWE1;CDC28;BUB1;PHO85;MAD3;GIN4;CDC5;FUS3;RAD53;DBF2;CDC15
GO_Molecular_Function_2018	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	26/152	6.908054715560214e-30	1.5750364751477297e-28	2.3374794182194883e-11	5.329453073540435e-10	-1.351860203036913	90.77047043834108	CLB6;MEC1;CLB5;CLB4;CLB3;KSS1;MPS1;CLB2;CLB1;KCC4;CLN3;HSL1;CLN2;CLN1;DUN1;SWE1;CDC28;BUB1;PHO85;MAD3;GIN4;CDC5;FUS3;RAD53;DBF2;CDC15
GO_Molecular_Function_2018	kinase binding (GO:0019900)	13/29	1.2415760652193012e-21	2.0219953062142897e-20	2.45492113930135e-10	3.9980144268621975e-09	-1.6264615679854495	78.29445303133221	CLB6;CLB5;CLB4;CLB3;CLB2;CLB1;MCD1;SMC3;CLN3;CLN2;CLN1;DBF4;CKS1
GO_Molecular_Function_2018	protein kinase binding (GO:0019901)	13/37	6.23938072459263e-20	7.903215584483992e-19	2.747199290555445e-09	3.479785768036898e-08	-1.3858195735513652	61.28207919676035	CLB6;CLB5;CLB4;CLB3;CLB2;CLB1;MCD1;SMC3;CLN3;CLN2;CLN1;DBF4;CKS1
GO_Molecular_Function_2018	protein kinase regulator activity (GO:0019887)	14/45	1.647704405626895e-20	2.347978778018324e-19	2.392844932581915e-09	3.409804028929227e-08	-1.318239831844638	60.04888108822671	CLB6;CLB5;CLB4;CLB3;PCL9;CLB2;PHO80;CLB1;CLN3;CLN2;CLN1;CKS1;PCL2;PCL1
GO_Molecular_Function_2018	ubiquitin-protein transferase activity (GO:0004842)	16/89	4.648190711330314e-19	5.2989374109165586e-18	1.4009776231450495e-07	1.5971144903853563e-06	-1.4082403469384914	59.44554099249889	APC2;APC1;HRT1;GRR1;APC11;CDC4;CDC53;CDC23;CDC26;CDC16;CDC27;DOC1;APC9;APC4;APC5;SKP1
GO_Molecular_Function_2018	single-stranded DNA-dependent ATP-dependent DNA helicase activity (GO:0017116)	6/7	4.674727633918281e-13	4.099376540512957e-12	1.4267850309362661e-06	1.4786681229703114e-05	-1.852982099094624	52.60882139333367	MCM7;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2018	ubiquitin-like protein ligase activity (GO:0061659)	8/26	3.6288475768374327e-12	2.9549187411390555e-11	8.381643343397176e-06	7.350056470363681e-05	-1.96711568486976	51.817969865435145	CDC53;APC1;HRT1;DOC1;APC11;CDC4;APC5;SKP1
GO_Molecular_Function_2018	protein serine/threonine kinase activity (GO:0004674)	15/120	1.8167675649949795e-15	1.8828318400857053e-14	2.0757576705770356e-05	0.0001690259817469872	-1.3845804633180978	46.99503899192006	MPS1;GIN4;CDC7;KCC4;HSL1;RAD53;CHK1;DUN1;DBF2;CDC15;SWE1;CDC28;CAK1;DBF20;PHO85
GO_Molecular_Function_2018	single-stranded DNA-dependent ATPase activity (GO:0043142)	6/10	1.3801747027087049e-11	1.048932774058616e-10	6.148153398862829e-06	5.8407457289196864e-05	-1.8363723604597144	45.92074214756924	MCM7;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2018	DNA binding (GO:0003677)	20/337	6.05691364729212e-14	5.754067964927514e-13	0.009274441030506547	0.03304019617117957	-1.2740234840803517	38.77489318348302	RAD9;MCM7;YOX1;LCD1;SWI4;RFX1;MEC3;SMC1;SMC2;MBP1;CDC45;RAD24;SWI5;PHO4;MCM4;RAD17;MCM5;MCM1;PHO2;MCM2
GO_Molecular_Function_2018	ubiquitin protein ligase activity (GO:0061630)	8/31	1.7832520653959546e-11	1.2705670965946158e-10	2.4808799928931166e-05	0.00018854687945987682	-1.4778519660700873	36.57683220334377	CDC53;APC1;HRT1;DOC1;APC11;CDC4;APC5;SKP1
GO_Molecular_Function_2018	DNA helicase activity (GO:0003678)	7/35	2.4074480296259284e-09	1.5247170854297547e-08	0.00032377930268838266	0.002171225912145626	-1.6782099017320269	33.30356961919324	CDC45;MCM7;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2018	transcriptional repressor activity, RNA polymerase II transcription factor binding (GO:0001191)	5/12	8.200413853523916e-09	4.920248312114355e-08	0.00014652238136505694	0.001043971967226031	-1.7191069869269953	32.008192605162016	CYC8;TUP1;WHI5;YOX1;YHP1
GO_Molecular_Function_2018	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	10/103	1.3419020660913814e-09	8.998637384377498e-09	0.0031549717367681473	0.01563768599963343	-1.3287480795766995	27.14523073871467	MBP1;SWI6;YOX1;SWI5;PHO4;SWI4;YHP1;RFX1;MCM1;PHO2
GO_Molecular_Function_2018	ATP-dependent DNA helicase activity (GO:0004003)	6/27	1.7770584292623222e-08	1.0129233046795234e-07	0.000542166840321716	0.0032864273037611705	-1.5158869437702045	27.05209594277429	MCM7;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2018	RNA polymerase II regulatory region DNA binding (GO:0001012)	5/17	6.242086077687097e-08	3.3885610136015687e-07	0.0005477378839601956	0.0032864273037611705	-1.623713019025814	26.936370055126208	YOX1;SWI5;PHO4;YHP1;MCM1
GO_Molecular_Function_2018	helicase activity (GO:0004386)	6/39	1.8375349695465395e-07	9.521772114922974e-07	0.002907452194458906	0.015065888644014326	-1.3977212363911216	21.678196062080442	MCM7;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2018	transcription regulatory region sequence-specific DNA binding (GO:0000976)	5/25	5.140464166843154e-07	2.547882239217913e-06	0.002410857444752779	0.01308751184294366	-1.4146880171242229	20.486029653956862	YOX1;SWI5;PHO4;YHP1;MCM1
GO_Molecular_Function_2018	four-way junction helicase activity (GO:0009378)	3/6	5.290895558134997e-06	2.2339336801014433e-05	0.002396392316318858	0.01308751184294366	-1.6547121368622768	20.103963221065904	MCM7;MCM4;MCM6
GO_Molecular_Function_2018	phosphoprotein phosphatase activity (GO:0004721)	6/48	6.588515728629725e-07	3.129544971099118e-06	0.007283541714757996	0.028206253808072224	-1.4002954633863316	19.930079843841426	MIH1;CDC55;PPH22;CDC14;PPH21;TPD3
GO_Molecular_Function_2018	protein serine/threonine phosphatase activity (GO:0004722)	5/28	9.361338521528997e-07	4.268770365817224e-06	0.003716868202300403	0.01765512396092693	-1.3328154935619376	18.501488091740324	CDC55;PPH22;CDC14;PPH21;TPD3
GO_Molecular_Function_2018	acid phosphatase activity (GO:0003993)	3/8	1.4673851792672115e-05	5.1518028660697585e-05	0.00448942241577287	0.020471766215924295	-1.6358501575051665	18.20610180053675	PHO12;PHO5;PHO11
GO_Molecular_Function_2018	ATP binding (GO:0005524)	5/40	5.888001800583584e-06	2.3972578759518877e-05	0.01407323873183437	0.048616642891791434	-1.468407019010615	17.683429366877245	ORC5;MCM7;ORC1;CDC6;SMC2
GO_Molecular_Function_2018	cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	3/10	3.114559196601162e-05	9.186377117091471e-05	0.007422698370545322	0.028206253808072224	-1.6910029857421394	17.54726375759623	CDC28;CAK1;PHO85
GO_Molecular_Function_2018	cyclin-dependent protein kinase activity (GO:0097472)	3/10	3.114559196601162e-05	9.186377117091471e-05	0.007422698370545322	0.028206253808072224	-1.6754630123620502	17.386007973907134	CDC28;CAK1;PHO85
GO_Molecular_Function_2018	3'-5' DNA helicase activity (GO:0043138)	4/20	7.616910152899072e-06	2.8944258581016482e-05	0.0066702650714382805	0.028206253808072224	-1.4530064170851702	17.123883700787953	CDC45;MCM7;MCM4;MCM6
GO_Molecular_Function_2018	adenyl ribonucleotide binding (GO:0032559)	5/42	7.5331700046385665e-06	2.8944258581016482e-05	0.01679173687146077	0.0546930858099008	-1.3841452437928212	16.327646680050552	ORC5;MCM7;ORC1;CDC6;SMC2
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	9/195	5.278538091956797e-06	2.2339336801014433e-05	0.2115067700625429	0.4018628631188313	-1.3311225218052676	16.175616358260218	TEM1;ORC1;MCM3;CDC6;PHO5;SMC3;SMC4;SMC1;SMC2
GO_Molecular_Function_2018	protein serine/threonine kinase inhibitor activity (GO:0030291)	3/11	4.2621603664969246e-05	0.00011568720994777365	0.009227096695930893	0.03304019617117957	-1.5270745458692696	15.367179154870223	SIC1;PHO81;FAR1
GO_Molecular_Function_2018	asparaginase activity (GO:0004067)	3/10	3.114559196601162e-05	9.186377117091471e-05	0.007422698370545322	0.028206253808072224	-1.4752815289544128	15.308757183484031	MBP1;SWI6;SWI4
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	7/112	8.569891275084383e-06	3.151508404385869e-05	0.08830855772390948	0.21419522511756786	-1.2569475489118336	14.665128218491088	ORC1;MCM3;CDC6;SMC3;SMC4;SMC1;SMC2
GO_Molecular_Function_2018	histone deacetylase binding (GO:0042826)	2/6	0.0006182484732652386	0.001355390883696868	0.025528154427559333	0.07462075909594267	-1.8712348114275736	13.825843178850796	CYC8;TUP1
