source	target	score
P53	MDM2	0.7690383605516701
NF2L2	KEAP1	0.764998039213173
CCND1	CDK4	0.7647430941172341
CLOCK	BMAL1	0.763852079921237
CRY1	BMAL1	0.762779129237291
NMDE2	DLG4	0.7614367997411209
CBL	P85A	0.7588912965636121
CDK2	CCNE1	0.7585552056376651
SHC1	GRB2	0.7582545746647359
EZH2	EED	0.7578429916546041
RIPK1	FADD	0.757300468770487
NFKB1	TF65	0.756376890181079
NMDZ1	DLG4	0.7562896270609559
IKKB	NEMO	0.75626979312941
PER2	CRY1	0.7557459890730479
CADH1	CTNB1	0.75525757195807
JUN	MK08	0.755086749983073
P85A	IRS1	0.755082776919193
BMI1	RING2	0.753205151336606
CBL	CRK	0.7521210009034449
NMDE1	DLG4	0.75182577769055
SNP25	VAMP2	0.7517180322434741
EZH2	SUZ12	0.75165816698816
CASP8	FADD	0.7514785426078381
HDAC1	SIN3A	0.751079223517732
TF65	IKBA	0.7504398710089971
EGFR	GRB2	0.749231606380831
NEMO	IKKA	0.7491875599607879
NANOG	SALL4	0.7489512667724121
NMDE1	NMDZ1	0.7489512667724121
CLOCK	CRY1	0.748839101543182
JARD2	SUZ12	0.747162632898621
SMAD4	SMAD3	0.745912863543725
NMDZ1	NMDE2	0.7458806875097379
RASH	RAF1	0.745780128456102
TNR1A	RIPK1	0.74532140717948
TRAF6	M3K7	0.74532140717948
RING2	PHC2	0.7450033556971399
PER2	CRY2	0.7443265412438279
CLOCK	PER2	0.743806426430963
H11	CDK2	0.7435764923664548
RICTR	MTOR	0.743285947667518
MDM4	MDM2	0.7422883536739608
AXIN1	CTNB1	0.7421185889061129
PHC1	RING2	0.7420781629990201
RYBP	RING2	0.7420781629990201
CBL	GRB2	0.7420781629990201
AXIN1	GSK3B	0.7414350949341421
CBL	EGFR	0.741095135593265
STX1A	SNP25	0.7390967460353209
CCNA2	CDK2	0.739088627973669
PCGF2	RING2	0.7381625837171641
M3K7	TAB2	0.7373818549435559
SRC	CBL	0.736710255120695
PER2	BMAL1	0.7365188388629308
CBL	CRKL	0.736478105580879
TNFA	TNR1A	0.736478105580879
CDN1A	CDK2	0.736433296368381
CRY2	BMAL1	0.7363803365109642
STX1A	VAMP2	0.7347775173479391
ILK	PARVA	0.7319918032327959
EZH2	JARD2	0.731975409423022
KAPCA	KAP3	0.7317335580660491
RNF31	HOIL1	0.73012464689257
SUZ12	EED	0.7300794477315471
SUH	NOTC1	0.72936821976283
DNMT1	UHRF1	0.729088471997741
EP300	P53	0.7261322193650409
KCC2A	NMDE2	0.7257313552548221
MYD88	IRAK1	0.7245688373094721
TNFA	RIPK1	0.7229854770325609
BECN1	BCL2	0.722935681786423
CBL	FYN	0.7221717247303441
RBBP5	ASH2L	0.7221717247303441
DNM3A	DNM3L	0.722146799480549
MCL1	APR	0.721930744600893
UFD1	TERA	0.7213362600063861
FADD	RIPK3	0.721115802073426
CRKL	Q8C5V7	0.721115802073426
SMAD4	SMAD2	0.721115802073426
LIS1	NDEL1	0.720791231911155
GRB2	GAB1	0.7201166572160369
PO5F1	NANOG	0.719899993054591
MYD88	TLR4	0.7198791565255942
PER2	KC1E	0.719820811035635
CDK4	CDN1B	0.7190076494725209
PO5F1	SOX2	0.718890812293494
PER1	CRY1	0.7183815142387779
DLG4	ARC	0.7182562216925099
PO5F1	SALL4	0.7182562216925099
WDR5	RBBP5	0.716545881294422
SHC1	SHIP1	0.7158505430604909
CDK1	CCNB1	0.715791869191038
MDM2	ARF	0.715069227417877
VHL	HIF1A	0.714449438378952
B2L11	MCL1	0.7127131260191579
