source	target	score
YDR477W	YGL115W	0.771667026637785
YNR017W	YJL143W	0.770725632115606
YPL240C	YOR027W	0.7706361008932809
YDR448W	YGR252W	0.770620529184111
YNR017W	YPL063W	0.7700675295063409
YNL250W	YMR224C	0.7699662330258392
YML032C	YER095W	0.769802572092351
YOR106W	YLR093C	0.769631080453486
YAL041W	YBR200W	0.7695882015727629
YER148W	YGR274C	0.7695453203028401
YFL009W	YDR328C	0.76924898439972
YFR004W	YOR261C	0.7690578651831078
YJL074C	YDL003W	0.7689954486211209
YOL090W	YDR097C	0.7689915474177851
YPL248C	YML051W	0.7689837449517379
YDL042C	YDR227W	0.768936928492838
YDR217C	YPL153C	0.768921322373102
YNR017W	YIL022W	0.7688432870227851
YGL212W	YOR106W	0.7688432870227851
YDR328C	YDL132W	0.768769146103042
YLR362W	YCL032W	0.7687613413797549
YDR176W	YDR448W	0.768675484193427
YGL180W	YPR185W	0.7686676785191371
YBR160W	YPR119W	0.7685935206596529
YFR004W	YDL147W	0.7685701009016679
YBR160W	YPL256C	0.7684998373454609
YAL021C	YNR052C	0.768413950940507
YDR190C	YPL235W	0.7683592909570359
YOL139C	YGR162W	0.7683007223737329
YOL069W	YIL144W	0.768242149325328
YNL082W	YMR167W	0.768230434179745
YPL240C	YDR214W	0.7681484231579209
YJL115W	YNL031C	0.768046873569576
YJL076W	YFR028C	0.7679687493641908
YJR090C	YDR328C	0.7678046626584129
YDL017W	YDR052C	0.767714790791476
YER172C	YHR165C	0.767714790791476
YJL140W	YDR404C	0.767636632789238
YIL144W	YMR117C	0.7675701922300009
YDL140C	YIL021W	0.767437293855335
YOR361C	YBR079C	0.767413838811889
YHR200W	YFR004W	0.7673591075891391
YOR098C	YLR347C	0.7673591075891391
YHR119W	YLR015W	0.7672418132505551
YBL016W	YDR103W	0.767097125532354
YNL189W	YLR347C	0.767089303797152
YOR361C	YMR146C	0.76703454941743
YCR009C	YDR388W	0.767018904591015
YPL240C	YKL117W	0.7670071707617859
YBR112C	YCR084C	0.766971968197013
YFL008W	YJL074C	0.766901558219828
YDL159W	YBL016W	0.766885910680331
YKL145W	YHR027C	0.7668037558593459
YNL246W	YLL002W	0.7668037558593459
YPR181C	YIL109C	0.766788106324035
YBR081C	YDR448W	0.766768543955736
YJR076C	YHR107C	0.76675680629519
YGL153W	YLR191W	0.766678550632532
YFL008W	YDL003W	0.766674637639723
YKL145W	YFR004W	0.766568979283665
YNL262W	YPR175W	0.76656506573154
YER165W	YGR162W	0.766549411323236
YMR061W	YGL044C	0.766510273903749
YGL207W	YML069W	0.766373277195911
YGR200C	YLR384C	0.7663028122093771
YER095W	YGL163C	0.7662440864372142
YPL022W	YML095C	0.7662440864372142
YNR017W	YJL104W	0.766232340742676
YJR045C	YIL022W	0.7661736095690059
YFL039C	YLL050C	0.7661266213883969
YBL078C	YNR007C	0.7660796303257249
YDR228C	YOR250C	0.7660248037759609
YFR004W	YGL048C	0.7659973890294929
YGL058W	YCR066W	0.7659817230195509
YGL092W	YLR208W	0.7659582234038621
YBR081C	YGR252W	0.7659347230671809
YHR005C	YOR212W	0.7659033881632851
YIL021W	YJL140W	0.765875969070711
YDL126C	YKL213C	0.765864217730532
YKL022C	YBL084C	0.765864217730532
YBR136W	YDR499W	0.765836797235547
YJL138C	YGR162W	0.765731023271227
YFL024C	YOR244W	0.7656369897020391
YPL240C	YLR216C	0.7656330713860259
YBR160W	YLR079W	0.765605642612435
YDR189W	YLR026C	0.7655938871229321
YDL195W	YLR208W	0.765582131452923
YHR119W	YPL138C	0.765542944582471
YDL140C	YER125W	0.7655390257851
YFR004W	YDL097C	0.7655076746839321
YGL044C	YDR228C	0.7654998367080171
YHR172W	YNL126W	0.765480241417112
YJL041W	YJL061W	0.7654371300113421
YFR052W	YFR004W	0.765413613675639
YMR197C	YOR106W	0.765378337817318
YBL078C	YHR171W	0.765362659136177
YBL023C	YLR103C	0.7653469801338469
YDL042C	YJL076W	0.765343060333077
YJR042W	YGL100W	0.765335220671308
YOR151C	YIL021W	0.7653038612211491
YLL036C	YMR213W	0.7652999411995269
YDR172W	YBR143C	0.765154886281203
YLR229C	YHL007C	0.765143123866378
YOL004W	YNL330C	0.7651274403653291
YBR082C	YDL008W	0.7650803879331899
YDR388W	YOR181W	0.7650647031460799
YJL041W	YGR119C	0.765045096709991
YLL039C	YEL037C	0.7650372539948629
YMR309C	YPR041W	0.7650294111993341
YKL022C	YHR166C	0.765017646855287
YIL046W	YDR328C	0.765013725367068
YER022W	YHR058C	0.76498235273763
YDL159W	YGR040W	0.7649588224211809
YOR361C	YDR429C	0.764947056991528
YER162C	YEL037C	0.7649352913809119
YNL102W	YPR135W	0.76488038280505
YPR019W	YLR103C	0.76488038280505
YER148W	YPL082C	0.764837237587188
YER021W	YFR004W	0.764821547813606
YDR394W	YFR004W	0.764821547813606
YGL212W	YLR093C	0.7647783992765491
YNR017W	YLR008C	0.7647509398490471
YOL115W	YDL175C	0.764703864250731
YCR093W	YNR052C	0.7646881717406121
YKL197C	YNL329C	0.764656785754236
YEL037C	YHR027C	0.764597933557239
YLR314C	YJR076C	0.764590086255374
YBL023C	YPR019W	0.764582238872968
YLL039C	YMR276W	0.764554772400251
YDR477W	YGL208W	0.76454692465538
YPL232W	YGR009C	0.764468442775763
YHR172W	YLR212C	0.764460594144656
YBR160W	YBR135W	0.764456669798884
YGL150C	YPL235W	0.764448821046903
YML051W	YDR009W	0.7644409722143359
YKL022C	YLR127C	0.7643899528382091
YOR117W	YFR004W	0.764366404285275
YFR004W	YDR427W	0.764280053383575
YJL104W	YLR008C	0.7642525760506139
YHR119W	YAR003W	0.7642368742739392
YDL147W	YDL097C	0.7642290232646229
YHL002W	YNR006W	0.7642290232646229
YGR274C	YGL112C	0.76422509772972
YKL022C	YGL240W	0.76422509772972
YOR007C	YOL111C	0.764185841271611
YNR017W	YGR033C	0.764150508735027
YHR027C	YFR004W	0.764150508735027
YDR190C	YDR334W	0.7641465827967819
YGL150C	YOR141C	0.764138730859783
YGL092W	YDL116W	0.764068059795723
YLR314C	YHR107C	0.7640602070517741
YBR081C	YBR198C	0.7640170155173249
YIL035C	YOR039W	0.7639895287240529
YCR077C	YJL124C	0.7639856019585709
YBR160W	YPR120C	0.763926698054205
YFR004W	YPR108W	0.7639149167282958
YGR103W	YMR049C	0.76390313522069
YMR146C	YDR429C	0.763883498970884
YEL032W	YLR274W	0.763871716978708
YAL005C	YPL106C	0.763867789607599
YLR293C	YDR002W	0.763832442358925
YBR198C	YGL112C	0.7638245871926349
YIL126W	YLR357W	0.763801021209058
YIL021W	YOL005C	0.7637735266425509
YKR002W	YJR093C	0.7637499590834691
YDR334W	YPL235W	0.7637460310862509
YER133W	YKL193C	0.763730318895355
YDR080W	YDL077C	0.763722462678688
YBR034C	YDR432W	0.7636831803830699
YDR092W	YGL087C	0.7636596100357801
YDR244W	YGL153W	0.763651753091683
YDL134C	YGL190C	0.763651753091683
YPL086C	YLR384C	0.7636478245893191
YGR200C	YPL086C	0.763643896066747
YLR335W	YNL189W	0.763584965802759
YER012W	YOL038W	0.763569250297574
YJL081C	YDR334W	0.7635653213707391
YBR081C	YDR167W	0.7635653213707391
YLR182W	YER111C	0.763561392423687
YLR396C	YOR106W	0.763561392423687
YOL133W	YDL132W	0.7634828092367241
YBR081C	YGL112C	0.7634160071677829
YLR337C	YOR181W	0.763404217960577
YBR160W	YDL155W	0.763404217960577
YIL021W	YDR404C	0.763380638999968
YNL107W	YDR334W	0.763380638999968
YKL022C	YDR118W	0.763376709102393
YKL018W	YHR119W	0.763376709102393
YOR026W	YGR188C	0.763372779184587
YDR328C	YOR057W	0.763372779184587
YGR195W	YDR280W	0.7633649192882791
YJR045C	YOR232W	0.7633609893097758
YKL103C	YOL082W	0.763353129292073
YLR268W	YLR026C	0.763329548753355
YPL203W	YIL033C	0.7633216884119042
YDL126C	YDL190C	0.7632784550870021
YMR125W	YPL178W	0.763262733270792
YBR170C	YGR048W	0.763219496606317
YCR093W	YAL021C	0.763219496606317
YHR099W	YDR448W	0.7632116351314359
YNL031C	YGR252W	0.7631880502209141
YGL112C	YDR448W	0.7631880502209141
YGR002C	YDR334W	0.7631880502209141
YOR362C	YER012W	0.7631880502209141
YKL022C	YNL172W	0.763180188422105
YGR104C	YBR193C	0.763152671488477
YDL007W	YFR004W	0.7631251535626379
YDR485C	YDR334W	0.7631251535626379
YGL150C	YJL081C	0.763113359862085
YDR477W	YER027C	0.7630976346444801
YLR234W	YMR190C	0.7630976346444801
YGR119C	YGL172W	0.763089771914157
YDR054C	YOL133W	0.763066183237077
YKL101W	YGL003C	0.7630465254491371
YLR293C	YLR347C	0.763038662192159
YDL140C	YOR151C	0.7630307988541479
YDR176W	YBR081C	0.7629757532189341
YER148W	YOR194C	0.7629364324765201
YIL026C	YDL003W	0.7629325002908192
YHR170W	YGL099W	0.762924635858615
YOR132W	YOR069W	0.7628499197089821
YER022W	YBR193C	0.7628499197089821
YDR244W	YLR191W	0.7628459870773392
YGL150C	YDL002C	0.762830256348029
YER148W	YBR198C	0.762830256348029
YNL030W	YNL031C	0.762818458088161
YHR099W	YOR244W	0.762680798237375
YDL126C	YGR048W	0.762676864733683
YIL075C	YFR004W	0.7626453959737779
YJL164C	YIL033C	0.7626414622874891
YGL150C	YFL039C	0.762629661106884
YDL126C	YBR170C	0.762629661106884
YPR019W	YGL201C	0.762606058197809
YOR061W	YOR039W	0.762594256469323
YAL005C	YNL064C	0.762554916055231
YML010W	YGR063C	0.762554916055231
YER125W	YMR275C	0.76254704772886
YGL112C	YMR236W	0.762531310832545
YJL069C	YLR409C	0.7625273765577208
YFR004W	YOR259C	0.7625273765577208
YFR004W	YFR010W	0.762503770482481
YBL007C	YOR181W	0.7624762291376701
YJR042W	YGL092W	0.762472294578629
YMR309C	YBR079C	0.7624565561394301
YIL021W	YPR187W	0.762432947871483
YMR061W	YDR228C	0.762432947871483
YKL108W	YJL090C	0.7624290130890881
YOR290C	YJL176C	0.762409338872498
YPL031C	YGR233C	0.7623739240031759
YCR077C	YDL160C	0.7623542483648922
YDL017W	YBL023C	0.7623345722187859
YDR394W	YGR232W	0.762303089328648
YDL029W	YJR065C	0.762299153875957
YEL020W-A	YHR005C-A	0.762299153875957
YIL021W	YBR154C	0.762291282909624
