	Day00_Rep1	Day00_Rep2	Day01_Rep1	Day01_Rep2	Day03_Rep1	Day03_Rep2	Day30_Rep1	Day30_Rep2
Xkr4	2.68734624407936	2.47943987294131	2.44036316562032	2.09591134453496	2.48135887730585	2.76376615222265	2.13634439355969	2.46783804806928
Sox17	3.1808628326812	3.04732144267835	3.35297937826346	2.88728421966217	3.24234959725836	3.23963252173451	3.62014919076799	3.17717030050005
Mrpl15	4.82898511233887	4.87910185567154	4.84986401699443	4.79851133551945	4.77460987715573	4.76708128403116	4.83374954402603	4.86911247207247
Lypla1	5.58224711574686	5.62448966545883	5.50827734561034	5.65802738592686	5.57413579442447	5.5893281004394	5.55442874331176	5.43458629353722
Tcea1	5.57253885558752	5.67047095622023	5.48691972603079	5.46375139571937	5.44603671099173	5.54055245374407	5.33117525960114	5.38170193091726
Rgs20	1.32762865861115	1.38389235819621	1.47196056826335	1.19612399144224	1.35824999669829	1.33548085525166	1.15289618842632	1.13115805650318
Atp6v1h	7.48249283959761	7.46760426575719	7.4192982942835	7.48769145620634	7.47683191425428	7.45625679096164	7.43157043222068	7.41780117677125
Oprk1	1.69069876449227	1.60102408118938	1.39119415762335	1.81660482402861	1.49794015847151	1.50499120152418	1.55141446960164	0.561972044670612
Rb1cc1	7.18987550970308	7.18393489004771	7.15501116862387	7.13807528251477	7.11327554969628	7.18518673216253	7.13022280266718	7.12696512994727
St18	-2.58907385190185	-2.75627807464162	-1.88247572136941	-2.75736638587351	-3.95340962219229	-4.88314870325232	-2.30524778441807	-4.88314870325232
Pcmtd1	6.25751472467034	6.14575827063019	6.15491738016739	6.24808714459025	6.18103012479299	6.28757828221046	6.29170212220118	6.30680751172839
Sntg1	2.72907051890923	2.75501668160987	2.82560324316006	2.65633453228731	2.64942969509228	2.67693467668323	2.80885383869928	2.91020032971286
Rrs1	4.15539198895367	4.18547881757156	4.12298826013253	4.30097016777264	4.24443996482173	4.16955315501421	3.87160517759356	4.06916189758144
Adhfe1	0.929844496977533	1.13891099477451	1.36726248224838	1.55074017584731	1.51351931927983	1.40420192471257	2.08572064742576	1.62095145916188
2610203C22Rik	-0.375160554292465	0.0630261094808491	-0.265026953860669	-0.783087300358412	0.106338636397696	0.0838812813051109	0.412369239582344	0.16254037614713
Mybl1	2.33956862042623	2.55342388486175	2.4172398333497	2.6085915119432	2.30906023442171	2.4392765381169	2.41220780498183	2.78725168286966
Vcpip1	6.63757787836611	6.55037096507781	6.63345434192405	6.55596920971893	6.59848851427402	6.60411624372875	6.51750207840191	6.52788419358393
1700034P13Rik	3.5502372849505	3.35375835182795	3.31282217977674	3.35740398065259	3.45495503306732	3.31692257228342	3.24539455911371	3.14957447826052
Sgk3	3.76201872482759	3.73028017301004	3.76834388049508	3.75347170499116	3.78364086277773	3.67310723452412	3.60024995687964	3.84950259590362
Mcmdc2	-0.734774490588419	-0.935205881800337	-0.302924395388429	-1.41154621290403	-1.11030865590942	-0.852782260118556	-1.72075728705638	-2.18743250449443
Snhg6	2.44848620218152	2.31429299118115	2.20411288631874	2.36855014914348	2.29560676708211	2.40986855704437	2.20119267398321	2.25125179244565
Tcf24	-0.928763045309944	-0.687836452861583	-0.381843260788544	-1.02939375211722	-1.5541235177351	-1.2155852721506	-0.498904487289517	-0.0772205187452101
Cops5	6.87096945239246	6.94334077903719	6.90500336640778	6.90515412206144	6.96322752178048	6.95594048230834	6.82968860172248	7.03207962481791
Cspp1	3.64483087762104	3.275765882918	3.60399621560887	3.45362216379792	3.49670546442145	3.38462383343866	3.69335788507662	3.90694494282337
Arfgef1	7.69886532534523	7.64962842220371	7.67964581873333	7.66639763892236	7.64705752509255	7.66358432050476	7.67573660030418	7.70605034415113
Cpa6	-2.58907385190185	-2.34436561807305	-1.6694688054496	-3.28925087036621	-2.54053948325679	-2.67112749079193	-1.89056427318076	-1.71203661072139
