source	target	Weight_1>2	Weight_2>3
Nacc2	Nacc2	0.0019971193006225246	0.0021296641127312
Crocc	Crocc	0.0020102381890932802	0.01618952917972774
Mx2	Mx2	0.026366504991443364	0.003522692280235032
Mff	Mff	0.0019979990431538306	0.00989303772556643
Papd5	Papd5	0.001996893742653877	0.0032549333919298746
Rnf8	Rnf8	0.0020026999489288536	0.0020109319173645364
Nrf1	Nrf1	0.0020071919914327165	0.003792740012853669
Mgst3	Mgst3	0.04719267992505527	0.060864417523710385
Cers2	Cers2	0.005916352381376778	0.046427466133942934
Grb2	Grb2	0.0019978616185158315	0.002517283854439321
Snx5	Snx5	0.002259603812579339	0.008568409469758759
Cux1	Cux1	0.008271772347602064	0.017362935827156298
Dll3	Dll3	0.002028677789420439	0.05677808699436643
Sytl4	Sytl4	0.0020233158894200076	0.07331166408278413
Zbp1	Zbp1	0.36320393176210497	0.012783960130591925
Sgsm2	Sgsm2	0.0019962321835301127	0.006614090301997217
Myl4	Myl4	0.002016427936440239	0.003833981716376793
Plod3	Plod3	0.011245639085270903	0.02538887992885953
Mynn	Mynn	0.0020091973114699777	0.0026711179566023366
Wdfy2	Wdfy2	0.002002167568089902	0.002031008182547245
Taok1	Taok1	0.004199134098864144	0.004518802537853097
Haus7	Haus7	0.002012881157915576	0.006531869721691918
Acacb	Acacb	0.0030982274146032366	0.02198059293609187
Cd79a	Cd79a	0.002007478380845265	0.010213366618737755
Aebp1	Aebp1	0.002002001690726419	0.04159476867589379
Atf4	Atf4	0.001996927958536607	0.0020856468493046067
Mtm1	Mtm1	0.001998461935209763	0.013946404165600251
Mogs	Mogs	0.0019969668932777783	0.00896337210919445
Cenpp	Cenpp	0.002025226602543253	0.016297737000909706
Pak1	Pak1	0.0019971537640201755	0.0040742223534385716
Wiz	Wiz	0.0020029159661199675	0.005130437047678163
Grm4	Grm4	0.0020035769563706974	0.004549541304113671
Atg2b	Atg2b	0.0019975833941184426	0.004943156367836687
Atn1	Atn1	0.002327442646858921	0.006070693810322073
Jmjd6	Jmjd6	0.0019975529396592394	0.00225779461318044
Tram1	Tram1	0.0020027384368827453	0.007638334697425336
Ptgis	Ptgis	0.002020914696560523	0.024584463240791474
Mtfp1	Mtfp1	0.001997357965371078	0.002213963613126173
Crkl	Crkl	0.002000230111988511	0.005404946887557355
Sall1	Sall1	0.002010527571939754	0.026786536325868294
Mei4	Mei4	0.0020298091983551943	0.0038313830531539745
Coa3	Coa3	0.002219788531428703	0.03117055355966676
Rbfa	Rbfa	0.0019963116629583646	0.004894705675772737
Erp44	Erp44	0.002073559996462413	0.004828224333409821
Myom1	Myom1	0.0019973661813709096	0.022463098135480766
Apc	Apc	0.0020028521129557744	0.01592006518927394
P4ha1	P4ha1	0.0020003603939542903	0.053470470297989334
Parp1	Parp1	0.002001768806886327	0.0027288307708073197
Daam1	Daam1	0.0024053682211312138	0.0025215505128847403
E2f5	E2f5	0.0028342223154000494	0.0035240704579647965
Cul1	Cul1	0.001997351482985342	0.004792763113523793
Foxo3	Foxo3	0.0019974453702280245	0.00467025764277851
Lama2	Lama2	0.002013975303687518	0.010888222113758823
Sik3	Sik3	0.0020042749355092893	0.007227936137439363
Boc	Boc	0.04415323323691177	0.04551052366366468
Xbp1	Xbp1	0.002002017392507157	0.004476878659834425
Lgmn	Lgmn	0.052740448510311976	0.05801990020507835
Crym	Crym	0.001996296236799316	0.00681449752048563
Arap3	Arap3	0.002006651338785242	0.007509142161095321
Ppih	Ppih	0.0030277352302429616	0.006402658407109028
Phb	Phb	0.002154339072640363	0.00890098292564352
Fen1	Fen1	0.001998348093718355	0.0020065581039489635
Zc3h4	Zc3h4	0.0019973855658494697	0.00781614270170221
Clu	Clu	0.00200075306235721	0.0021460846511471604
Lipc	Lipc	0.002093612186457959	0.053963737181717694
Sugp1	Sugp1	0.0019980176416661485	0.002215216075122684
Nom1	Nom1	0.002001961220984198	0.0026539983905007605
Apbb2	Apbb2	0.0020030621030140126	0.0020853822170933075
Ap1b1	Ap1b1	0.0019976947036812924	0.005144293717966679
Fer	Fer	0.0020017217131828038	0.002632140147309503
Lrch4	Lrch4	0.0019981396958044717	0.03335981078629992
Med14	Med14	0.002356206039869084	0.005620241362065337
Satb2	Satb2	0.0020351064725123084	0.012785198035761825
Mest	Mest	0.045284012099788495	0.05885623459067326
Tiprl	Tiprl	0.001998019363070619	0.0024842356753629526
Pygm	Pygm	0.00204058672246963	0.0028456114791699095
Atrip	Atrip	0.002000275333130408	0.007571301763458065
Ube4a	Ube4a	0.00199750814592839	0.0020493850215552293
Vat1l	Vat1l	0.001999593037279336	0.02522480094050262
Rbm8a	Rbm8a	0.00212873284515601	0.02038496245639911
Mgll	Mgll	0.001996374808566797	0.0022154002124567668
Mlec	Mlec	0.0019982722486595016	0.018417393269532352
Jph2	Jph2	0.001999064868641751	0.006499150954902175
Cdk8	Cdk8	0.0019984555071181553	0.02197525685295178
Top3a	Top3a	0.0020115633123373535	0.006939125106424354
Trpc1	Trpc1	0.0020039875689952177	0.0020042869810053404
Palld	Palld	0.004256586206741301	0.004485488342880733
Smc6	Smc6	0.002003209638806324	0.0024254678008708173
Mlf1	Mlf1	0.002026386277392807	0.007172253043405253
Mcmbp	Mcmbp	0.001999399682669706	0.002781672217169835
Zfp54	Zfp54	0.0020119753325797242	0.002074700325927622
Kif1a	Kif1a	0.010478842855128186	0.019119937889423778
Fcho2	Fcho2	0.002001539135323757	0.024100012257824217
Rnf43	Rnf43	0.0020029897964059045	0.0020024270870872976
Matn4	Matn4	0.014221947982545497	0.005676349636293771
Taf6	Taf6	0.002001569453454802	0.002004247940489083
E4f1	E4f1	0.001996315099743941	0.010985783219784951
Hcls1	Hcls1	0.0020001069880557732	0.004261702121265792
Gnaz	Gnaz	0.001999080189410845	0.011898495815034653
Hcn3	Hcn3	0.0022893148914948846	0.006802732229852191
Tlr4	Tlr4	0.004626924651424175	0.007098278172515069
Tlk2	Tlk2	0.0019991686467845616	0.0023188930449595403
Pdia5	Pdia5	0.0019988095156194432	0.003053820235967497
Pcna	Pcna	0.0020008147584168992	0.00621478856653103
Caap1	Caap1	0.002009325965888682	0.002013537740590695
Enah	Enah	0.0019971470790477873	0.0068771125067616495
Pogz	Pogz	0.0019962388874345278	0.022806456093163154
Cbln4	Cbln4	0.002028952667821493	0.00558315901362062
Lmna	Lmna	0.0019995831474544077	0.007159110045858212
Erc2	Erc2	0.002002078783396717	0.0020056525948874983
Tppp	Tppp	0.007524018690801427	0.009265103261533646
Cpsf2	Cpsf2	0.0020015210452238533	0.0023991431605403972
Tcaf1	Tcaf1	0.0021912732765288425	0.00399561885795856
Ypel2	Ypel2	0.0056071146939212346	0.005662998396675287
Alg3	Alg3	0.005392477177972625	0.024527661457847266
B9d1	B9d1	0.002000499149454704	0.0032717455097958886
Gnaq	Gnaq	0.003343074356141224	0.00395277805166754
Fzr1	Fzr1	0.0019962108227623053	0.002142958697321632
Cby1	Cby1	0.0020039399884532677	0.0020170492394076854
Per2	Per2	0.017845102536802007	0.07244376081604956
Sgcz	Sgcz	0.001997252139015788	0.0029777398105107463
Hcfc1	Hcfc1	0.004346376220444829	0.015540268931982707
Trrap	Trrap	0.002169686979201736	0.0037524440590610657
Fbxw5	Fbxw5	0.0019988933504154756	0.002461724689719999
Stk4	Stk4	0.001997242432562312	0.0075734971546386805
Clpb	Clpb	0.0025333178380713786	0.002567841838610925
Hcn4	Hcn4	0.0020034485263431194	0.011038961453591338
Lamc1	Lamc1	0.0020072681500739363	0.009900209250792004
Gan	Gan	0.004434479275327598	0.006438251937783985
Tcf20	Tcf20	0.002085522179488905	0.0022204040351336855
Nudc	Nudc	0.0020005416837030037	0.008196362354879073
Ddit3	Ddit3	0.002006669678514985	0.0020078947639102125
Arl8b	Arl8b	0.001996234983533602	0.002304076844092159
Btc	Btc	0.002017881452734142	0.0034778302364556588
Inf2	Inf2	0.0023563950906156567	0.003635786420386839
Eid1	Eid1	0.003799103604746977	0.00396430743194342
Rnd3	Rnd3	0.0020048319047984795	0.010947659773143055
Itih2	Itih2	0.0020170515677749687	0.007668088377923063
Ipo9	Ipo9	0.0020948197876884144	0.0021628119799550305
Tgm1	Tgm1	0.0021331263803113453	0.12741532417209375
Thop1	Thop1	0.0019964479449565177	0.004515715638162566
Med18	Med18	0.001999236414455156	0.004823863362313283
Rrp7a	Rrp7a	0.001996490665502682	0.010131971090418477
Stim1	Stim1	0.0028999788301729526	0.009564724839807354
S1pr2	S1pr2	0.0020000026765463084	0.002001374973113446
Foxp2	Foxp2	0.001999883848704347	0.028530567354949923
Gak	Gak	0.0030766877915100596	0.0034473448697032952
Cd81	Cd81	0.002001076813284145	0.0049497287651758485
Tmod3	Tmod3	0.0020008502795766854	0.0020082204214498687
Snx9	Snx9	0.0020000922718789254	0.004905341497057305
Dido1	Dido1	0.0020016280241515424	0.0030509194832805306
Setd2	Setd2	0.001996828037117065	0.0023642571067592376
Lsp1	Lsp1	0.0045150361952229915	0.05733688873586002
Bop1	Bop1	0.001999072644060602	0.006878172940697153
Gnl3	Gnl3	0.0020060521126950698	0.013074899828400094
Med11	Med11	0.0020050489158976548	0.0021484803913828926
Adk	Adk	0.0020017248720246537	0.0020054087551402205
Pcdh8	Pcdh8	0.0020010223209000547	0.004450293696136511
Sp7	Sp7	0.0020684335843199494	0.004932898515296753
Bbs7	Bbs7	0.0020000644389905303	0.002306264126113939
Tmed2	Tmed2	0.002004004000698056	0.002815174555570839
Srek1	Srek1	0.0020039232059318153	0.020250194275287455
Rfc3	Rfc3	0.002413134917419189	0.0030211576170982614
Myt1	Myt1	0.0032302131286002242	0.002411101472643555
Peli2	Peli2	0.004462134811474343	0.006705183721283442
Pprc1	Pprc1	0.0020027267130603805	0.003982974999807695
Flrt2	Flrt2	0.00200095817168377	0.0029485702386048817
Cux2	Cux2	0.002011972467127688	0.010313512498052051
Ift52	Ift52	0.002255979682365603	0.004262958045509177
Nudt5	Nudt5	0.0019968335799857083	0.01128966094071756
Med23	Med23	0.0020017465958189966	0.0020349713449084937
Anxa7	Anxa7	0.001998829891276667	0.0020182028251621033
Nos2	Nos2	0.011925266789079052	0.0034088169886299043
Ehmt2	Ehmt2	0.002000493849634436	0.0034586415935068293
Hebp1	Hebp1	0.01786668471361922	0.019885133294635177
Traf3	Traf3	0.001997626183939892	0.002873172892219829
Tfam	Tfam	0.0019969927509746444	0.0021355848255895683
Nr1h2	Nr1h2	0.0036277688004821926	0.003836587995868115
Lsm11	Lsm11	0.0019991141098109956	0.005853594562874366
Rcn1	Rcn1	0.002001190439701978	0.015883082772278626
Stat3	Stat3	0.005550104828294536	0.005573996374297591
Thoc7	Thoc7	0.0020032649716247393	0.0052328488458314535
Nr4a3	Nr4a3	0.0020089681368819176	0.014284036495397265
Ap2a2	Ap2a2	0.002438802609035306	0.003850273597370285
Stom	Stom	0.003706141300201717	0.02812656175548751
