source	target	score	edge type
Ccnd1	Cdk4	0.7647430941172341	PPI
Cdk2	Ccne1	0.7585552056376651	PPI
Shc1	Grb2	0.7582545746647359	PPI
Ezh2	Eed	0.7578429916546041	PPI
Ripk1	Fadd	0.757300468770487	PPI
Per2	Cry1	0.7557459890730479	PPI
Cbl	Crk	0.7521210009034449	PPI
Ezh2	Suz12	0.75165816698816	PPI
Casp8	Fadd	0.7514785426078381	PPI
Hdac1	Sin3a	0.751079223517732	PPI
Egfr	Grb2	0.749231606380831	PPI
Nanog	Sall4	0.7489512667724121	PPI
Clock	Cry1	0.748839101543182	PPI
Smad4	Smad3	0.745912863543725	PPI
Per2	Cry2	0.7443265412438279	PPI
Clock	Per2	0.743806426430963	PPI
Mdm4	Mdm2	0.7422883536739608	PPI
Cbl	Grb2	0.7420781629990201	PPI
Axin1	Gsk3b	0.7414350949341421	PPI
Cbl	Egfr	0.741095135593265	PPI
Ccna2	Cdk2	0.739088627973669	PPI
Src	Cbl	0.736710255120695	PPI
Cbl	Crkl	0.736478105580879	PPI
Stx1a	Vamp2	0.7347775173479391	PPI
Ilk	Parva	0.7319918032327959	PPI
Suz12	Eed	0.7300794477315471	PPI
Dnmt1	Uhrf1	0.729088471997741	PPI
Myd88	Irak1	0.7245688373094721	PPI
Becn1	Bcl2	0.722935681786423	PPI
Cbl	Fyn	0.7221717247303441	PPI
Rbbp5	Ash2l	0.7221717247303441	PPI
Fadd	Ripk3	0.721115802073426	PPI
Smad4	Smad2	0.721115802073426	PPI
Grb2	Gab1	0.7201166572160369	PPI
Myd88	Tlr4	0.7198791565255942	PPI
Per1	Cry1	0.7183815142387779	PPI
Dlg4	Arc	0.7182562216925099	PPI
Wdr5	Rbbp5	0.716545881294422	PPI
Cdk1	Ccnb1	0.715791869191038	PPI
Vhl	Hif1a	0.714449438378952	PPI
Brca2	Rad51	0.711550419857932	PPI
Ilk	Lims1	0.710761563395208	PPI
Fbxl3	Cry2	0.710761563395208	PPI
Nacc1	Nanog	0.7086226075987131	PPI
Myd88	Irak4	0.7081821799508942	PPI
Tead1	Yap1	0.704380578948625	PPI
Hdac2	Sin3a	0.7043124306726379	PPI
Hdac1	Mta2	0.7043124306726379	PPI
Hdac2	Mta2	0.7043124306726379	PPI
Rtkn	Rhoa	0.701799116556868	PPI
Ahr	Arnt	0.7005112418798151	PPI
Pcgf2	Phc2	0.697489784871435	PPI
Dlg4	Neto1	0.697042322961813	PPI
Cry1	Fbxl3	0.6961422268473589	PPI
Eya1	Six1	0.6958879220104339	PPI
Eya1	Six2	0.69561627353017	PPI
Gria1	Gria2	0.69527979979286	PPI
Tank	Tbk1	0.691893055319968	PPI
Myd88	Traf6	0.6918236769582261	PPI
