Node	Weight_1	Weight_2	Weight_3	Query_1	Query_2	Query_3
Fosb	0.0010004124798038802	0.0010380340135148697	0.006570959919549693	False	False	False
Dctn6	0.001000150696102503	0.0010052025140377084	0.016014319146918643	False	False	False
Med27	0.001000120547691713	0.0010059347218715638	0.0010404422048670803	False	False	False
Kdm4a	0.0010000923640544094	0.0010061597436715982	0.00425424232625117	False	False	False
Rhno1	0.0010001531373955578	0.0010025329732417094	0.009407928010409058	False	False	False
Dyrk3	0.0010008803347567442	0.0010121313236750387	0.002991396143997776	False	False	False
Fnip1	0.00100030647518976	0.0011065045439439718	0.02408914664234453	False	False	False
Isy1	0.0010001066583299994	0.0010112826907586845	0.0010007147272543403	False	False	False
Grik4	0.0010000420471451652	0.001004279605541701	0.005937477203595499	False	False	False
Ezh1	0.0010002392777518584	0.0010057495370256126	0.005688015558927626	False	False	False
Chfr	0.0010003644027266967	0.0017326664414362178	0.03159429649489398	False	False	False
Grip1	0.0010000569459453063	0.001005181433637639	0.0018572981144660563	False	False	False
Egf	0.0010001897804249658	0.0010027524840276285	0.0169521744332623	False	False	False
Senp7	0.0010001284531391834	0.0010031437840779262	0.0044240142916129165	False	False	False
Ifih1	0.14483650200891116	0.001000300205387219	0.02366988984078021	True	False	False
Rfc5	0.001000257063877454	0.0010140525350683647	0.007833438154475488	False	False	False
Ttf1	0.0014541685599156519	0.0010018278797213156	0.0010676695478531852	False	False	False
Sos2	0.001000059128868243	0.0010061383856443211	0.001199025151525939	False	False	False
Ubr2	0.0010002316765818048	0.005303794602348408	0.04105513459479367	False	False	False
Bad	0.0010000544266155942	0.001005955153648954	0.0026613941834355177	False	False	False
Glrx3	0.0010000441473428233	0.0010024113540559269	0.006415675804861037	False	False	False
Rhoc	0.0010001176368310608	0.0010101455033476167	0.0017318250874392602	False	False	False
G3bp2	0.0010002208294339118	0.0011680725002989124	0.0015269352101908527	False	False	False
P3h2	0.0010007853259430383	0.001003510221976275	0.001333921893000602	False	False	False
Plin4	0.0010034781423775814	0.02971549303444647	0.05157929574857417	False	False	False
Mnt	0.0010000498975941503	0.0010007052472959907	0.0020809046134318693	False	False	False
Gosr1	0.0010000378364449108	0.0010011059395928707	0.0010962707210705885	False	False	False
Gpn1	0.001000009734950881	0.001004168783516504	0.007064386552325063	False	False	False
Ncf4	0.001000332662679396	0.0010289965119997678	0.01990045610085235	False	False	False
Grk6	0.001000221591060695	0.0017618521771664555	0.004363891809382611	False	False	False
Cotl1	0.001000160554913667	0.014715026519885394	0.004634171834223313	False	False	False
Emp1	0.0010005543315155	0.006698411988630877	0.001689573580458238	False	False	False
Btbd3	0.0010000065676213283	0.0014088643341992938	0.0010302236964533646	False	False	False
Rbx1	0.001000113857919264	0.0010034273615492752	0.013181882704176032	False	False	False
Prep	0.001000122121694515	0.0013921931540809358	0.006333102737399484	False	False	False
Hgs	0.0010001654871291477	0.0010049013199012803	0.0010240814928914566	False	False	False
Itsn1	0.001266371902369595	0.001006975550252973	0.001094396041271788	False	False	False
Osmr	0.001000263012162161	0.003562545042712162	0.009298050487947386	False	False	False
Inf2	0.0010000044169584626	0.001361956386498687	0.0022870972134139776	False	False	False
Usf2	0.0010002387609458674	0.0010062998182745362	0.0012752075021217417	False	False	False
Vrk2	0.0010005844217652483	0.001001020974262864	0.006941838537645932	False	False	False
P4ha1	0.0010002696734570705	0.001004100182572056	0.05548697444330155	False	False	False
Mmgt1	0.001000041281947623	0.0010054898850243954	0.002820237132803476	False	False	False
Lamb1	0.0010004993304181583	0.0010006703499447793	0.002735773218821319	False	False	False
Ap3d1	0.001000127408382788	0.0010027520458199349	0.0014208423402469377	False	False	False
Rgs19	0.0010004995481544571	0.001001725343530587	0.001482940113864141	False	False	False
Tbx6	0.0010017647548929839	0.001007922840209679	0.002918717836261488	False	False	False
Keap1	0.0010003599937065833	0.001008110316720978	0.0010078098117455505	False	False	False
Ganab	0.0010001208632259377	0.0010000284066218666	0.003714642439942004	False	False	False
As3mt	0.001000499261793813	0.001345573975947642	0.03920875957391321	False	False	False
