	logFC	logCPM	F	PValue	FDR
YAL067C	0.509865018443409	2.23311345225921	2.7796506607631	0.108697566782737	1
YAL065C	0.468237255983074	-0.238266436075601	0.856903081818155	0.384929164296995	1
YAL064W-B	0.0597344303270551	-0.217116887004753	0.0142325000225872	0.914215769962587	1
YAL064C-A	-0.359343196440223	1.8726264116382	1.53610442519161	0.227392803508711	1
YAL064W	0.563479082278976	-0.874119422205583	1.01763064530927	0.323321742043907	1
YAL063C-A	-0.183725212235704	0.915874201036918	0.340213595486774	0.565243445862036	1
YAL063C	-0.0914915029948474	3.02187363155165	0.364806053319214	0.551616254934784	1
YAL062W	-0.0573090207463734	4.56121688473968	0.189189353828353	0.667547099738549	1
YAL061W	0.113706437795037	4.8232784340297	0.486877883802999	0.492146978424561	1
YAL060W	-0.073830347777697	7.70845597767958	0.345007832540619	0.562535528068527	1
YAL059C-A	-0.112831659526128	4.74914796967285	0.574765065806849	0.455882380012266	1
YAL059W	-0.196093512321808	5.77092347424366	2.20878119128466	0.150475979842094	1
YAL058W	0.0495342947618958	5.56884828757055	0.330754243697033	0.570662738768159	1
YAL056C-A	-0.00990886910832004	3.55496936439499	0.00294856764218174	0.957153024651987	1
YAL056W	-0.0598774207510408	5.76776215901573	0.400432589783698	0.532955068228209	1
YAL055W	0.0306965309592111	3.36603115634787	0.0287931842255338	0.866704796644329	1
YAL054C	0.070964887832922	4.81222145348035	0.0760543355240252	0.785300460709648	1
YAL053W	0.126856959316983	7.93327778273393	0.832897653992602	0.370672910641587	1
YAL051W	0.116834936938777	5.19569322220843	1.09566165956626	0.305831696148813	1
YAL049C	0.0421012717124779	6.45927416208552	0.132429167711576	0.719169207317256	1
YAL048C	0.134621889937614	4.44977931779092	0.416698112102932	0.524830370328641	1
YAL047W-A	-0.171277278254613	0.527302392585765	0.127329307805506	0.7243907651273	1
YAL047C	0.158452302203633	3.82968197860119	1.05109570547839	0.315657891368	1
YAL046C	0.00805280899857209	5.04299792705346	0.00430095022667575	0.948263761362722	1
YAL045C	-0.0157807677226654	4.99106895018294	0.0114299376865476	0.915764070411335	1
YAL044W-A	-0.0145515552859317	5.43171483241017	0.00915968760477409	0.924562588519275	1
YAL044C	-0.15780159383005	6.69909478668683	1.4445737327551	0.24133259107741	1
YAL043C	-0.00687716681466264	6.36105501130098	0.00454215531704966	0.946835045445637	1
YAL042C-A	0.0773402243205501	5.96593722968648	0.291031174579724	0.594618466847029	1
YAL042W	-0.0580752606588598	8.36969956731808	0.579886302097298	0.453906020265005	1
YAL041W	0.0766663950995121	6.29174715715751	0.486137574535639	0.492472944264438	1
YAL040C	-0.0129937813929518	6.82838729067972	0.00244621574643947	0.961020543408481	1
YAL039C	-0.246922061380935	5.4152607589552	2.13416119425973	0.157247004338793	1
YAL038W	-0.019207417228682	12.838919625564	0.0416517624881208	0.840036182384775	1
YAL037C-B	-0.0434163900353295	12.3565233714563	0.205400415941961	0.654539623738669	1
YAL037C-A	0.0363861011033694	3.76436622571284	0.00313796068379993	0.955881178077489	1
YAL037W	-0.0146754023938902	3.09116551439738	0.00567223196071245	0.940600026261498	1
YAL036C	-0.0614529009365184	7.37470910083132	0.532535417805548	0.472730484111009	1
YAL035W	0.019052253474969	8.39656416433415	0.0453320497886567	0.833224581186278	1
YAL034C-B	-0.274995998047814	2.89394513677135	2.21661676714039	0.149785445592908	1
YAL034W-A	-0.0650588829380326	3.77995716037225	0.160099881521245	0.692666339033291	1
YAL034C	0.101323424389571	4.24982792809913	0.587017749814288	0.451176886658486	1
YAL033W	-0.260543604173779	4.87158819673767	2.62353667644873	0.118587848130646	1
YAL032C	-0.0688844368313139	4.18322686810292	0.167145615734884	0.686350505933038	1
YAL031W-A	-0.217165953577695	2.92824739392141	0.86292939013801	0.362332590096611	1
YAL031C	0.0881098558012884	5.05588670446474	0.272852574423713	0.606297746326323	1
YAL030W	-0.0247337285446041	5.55884214581922	0.0340357666691431	0.855208216921075	1
YAL029C	-0.0637116865329781	6.69379717306031	0.570027887878742	0.45772299025205	1
YAL028W	0.239228355148078	2.75058645894985	0.428588718885618	0.519226745504967	1
YAL027W	-0.0272435342932623	3.64319186721304	0.0483912887560592	0.827779874729732	1
YAL026C-A	-0.0820021866497275	4.02484633581989	0.169209046378011	0.684530458717855	1
YAL026C	0.0855782003512876	6.4817786675774	1.17847587830502	0.288640394401527	1
HRA1	0.160596470667456	2.45655314914975	0.138920268891737	0.712744978426463	1
YAL025C	-0.111508375525607	6.43842220750035	1.03780418583689	0.318671668237945	1
YAL024C	0.0599354239171318	4.79705779640191	0.0919522849570957	0.764380446844654	1
YAL023C	0.141103018361726	9.24153312736032	1.91263712259175	0.179627390524641	1
YAL022C	-0.186044589246544	6.74061145620237	1.94194255334498	0.176454526656772	1
YAL021C	0.102076688820369	6.62783540881619	0.962429862695244	0.33653440887854	1
YAL020C	-0.0518388026146953	4.71594517035931	0.0924812448284609	0.763713595024575	1
YAL019W-A	0.0325510339458306	3.34302167785575	0.02674913953049	0.87147781319569	1
YAL019W	-0.043132594140811	6.18978831039254	0.109307815179197	0.743853293628525	1
YAL018C	-0.507316315986305	-1.31656262821605	0.282015233476842	0.600350244453016	1
YAL017W	0.0267777917469607	5.6016839384401	0.021897466087191	0.883637183304321	1
YAL016C-B	-0.145370857733844	1.8497881366257	0.21914597016981	0.643989595290273	1
YAL016C-A	0.227692367455267	3.96283203170729	0.756907784773208	0.39330431192385	1
YAL016W	0.114308568214613	7.59841830783718	2.24251199641557	0.147530152493996	1
YAL015C	-0.0503184241187692	4.85802682988852	0.324543754895372	0.574277501445679	1
YAL014C	0.0131882563835614	5.69462805337414	0.0169192973277322	0.897610980614514	1
YAL013W	-0.293955885566796	4.67649873963771	4.93093078580742	0.0362529554043551	1
YAL012W	0.0392685832025163	10.0428037558359	0.114506099505993	0.738065682586637	1
YAL011W	0.00597499553617444	4.55867379496727	0.0013858773937123	0.970617084006667	1
YAL010C	-0.0297124719724051	4.47926112913303	0.0537333562808313	0.818689652920076	1
YAL009W	0.00455443455474595	5.05594681503906	0.0015843501962645	0.968584562831933	1
YAL008W	0.166521040698662	4.86624575041003	1.64751413360332	0.211768420338162	1
YAL007C	0.09200083474035	7.71605724770067	0.492222359130844	0.489804703716421	1
YAL005C	-0.0531174291177203	9.18907330899783	0.139884682967616	0.711737675099829	1
YAL004W	0.0596376912592087	7.1639042063668	0.0757274951930263	0.785779648055146	1
YAL003W	-0.0621474340462232	10.7641219639076	0.477978184385585	0.496090409141681	1
snR18	-0.0816711220304193	1.4951319931322	0.0582567387173201	0.81135924872588	1
YAL002W	0.0556203454586755	5.6429420077182	0.327680803846233	0.572445884488638	1
YAL001C	0.112330465268021	5.29521445252236	0.745421204601597	0.39662680031991	1
YAR002W	-0.0128485354894673	6.27716002785244	0.0179677230043983	0.894505488611719	1
YAR002C-A	0.119072759619882	8.67743492193769	0.807799910160906	0.377857987543173	1
YAR003W	0.150944098230283	5.99104552882445	1.65640405548518	0.210580485973085	1
