	0min	5min	10min	15min	20min	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min	105min	110min	115min	120min	125min	130min	135min	140min	145min	150min	155min	160min	165min	170min	175min
YAL067C	2.17718585083463	2.2126573250266	2.92916161101071	1.7024686485822	1.51237579727376	1.41358110733749	1.55112384641491	2.37704680852777	2.54679927592587	2.71780868216326	2.21764233816979	1.95225447991871	1.63896979238707	1.6287691912133	1.5273557527719	1.98621299291644	1.22543090636023	0.944810422003471	1.02454985542193	1.40621620742967	1.77781893250575	2.35302770398191	2.97473271359787	3.05443889911987	3.07445775546506	3.08423519180368	3.03201158186842	2.81371908111305	2.49999138266414	1.93346353474507	1.75024055485921	1.69177020137938	2.30203471729647	2.12478944906778	2.30133810574603	2.48049173012296
YAL065C	0.341505504367098	0.313528517175564	0.186270931960313	0.201411150620469	-0.536104901867938	-0.387336454046607	-0.484930119603784	-0.194268520159055	-0.103038120376609	-0.303897343583152	-0.24867422824941	0.0306723810002181	-0.115889831984532	0.00900846447231225	0.00535463681580672	0.0220058914356645	-0.699403589965651	-0.713894457097599	0.806435444959759	-0.122511479341503	-0.70767532025253	-1.11019423792498	0.0453641152289483	0.447242314633993	-0.270765060887757	-0.705799338490045	0.0915966896571334	-0.76718406258059	-0.20403713177501	-1.22951851901212	-1.06563987617677	-1.0115925679148	-0.390262183899853	-1.01751683135336	-0.956754492782453	-0.0870396896193306
YAL064W-B	0.504368839891786	0.618430133962093	0.714602600334786	0.0201032895254087	-0.0458062714581969	-0.166229208995328	-1.05506130012836	-0.310244827159268	-0.631574217369133	-0.923349735748039	-1.62101878706012	-0.464364654558646	-0.0237224398278292	0.00900846447231225	-0.317583293997622	-0.124769272213142	0.137843255556913	0.591145993171608	0.114846035442334	-0.393749937444524	-0.28910266584427	0.0620482552482979	0.146641354545447	0.0390280988007892	0.0859345120013488	0.130681819510661	-0.361941567120639	-0.0193006713244006	-0.724987330338057	-1.22951851901212	-0.901072695991851	-1.0115925679148	-0.970434534605133	-0.851015393288598	-0.636762248361091	-1.50504433542546
YAL064C-A	1.85365952445575	2.0990697263093	2.07724089281655	1.7024686485822	1.74038830284548	1.37887863164701	1.97151105557503	1.8912169282778	1.49365775197177	1.18935373363081	1.2578317284863	1.39157896354172	1.42668614997251	1.69023195350539	2.29149325682242	2.74676494440797	2.40563097576636	2.41485664484275	2.52231651074058	2.68458007748944	2.38275486956624	2.17894977328086	2.42883863578314	2.30671129748514	1.75972111261676	2.18493204991168	1.9245385212723	1.82889974964941	1.69428187711509	0.391389137568225	1.59348775535902	1.51900059710976	1.01876517496024	1.38347804105358	1.03597263512726	0.681878674348472
YAL064W	-1.47982959516859	-0.165222241050024	0.186270931960313	-1.31123692958143	-0.69000703728518	-1.63783634999589	-0.607753032512847	-1.31674875251761	-2.02541893314822	-1.73187185217216	-0.363829592804123	-0.870990154141173	-0.55788017717679	-0.901903220892613	-0.734305425520348	-0.931611056044141	-1.77165854985064	-1.0288439622178	-0.719929895348712	-0.929635996257794	-1.56704328935384	-1.74994537899436	-0.781729671402645	-1.09725631578175	-0.745684800669872	-1.14390423357287	-1.86191703320911	-1.07849968584549	-0.724987330338057	-0.470878542226305	-0.901072695991851	-0.844857614932498	-0.970434534605133	-0.032987252612358	-0.636762248361091	-0.628416687750267
YAL063C-A	-0.0525520498775323	0.170898465491081	-0.280490178060579	0.43670352354873	1.15366206451104	0.929186190063894	1.03966300199536	0.194162865787322	1.20285212933514	1.0778165150778	1.04859077123589	0.637419477273705	1.13832844712152	1.01130120805664	0.623429811559714	-0.472505958796774	0.335410656434526	0.803707941133086	1.27196976286157	0.897796835512133	0.832066950923828	1.24567566294888	1.05837490053527	1.10262806726626	0.371692876407532	0.984000742582019	0.999785904537727	0.96795767143928	1.29090269127746	1.13543752900869	1.32090676683628	1.21351431149937	0.925896657524322	1.24321300761889	0.894205030240083	1.62155277386169
YAL063C	3.23939820079237	3.09664143915754	3.33196829653757	3.35723949971876	3.15762744627217	3.14873908124899	3.1784588400015	2.98096938800057	3.19476585015746	2.91459754276369	2.9422590141172	2.76073771267586	2.80954778799085	3.09484399886363	2.8161664970069	2.7677232144207	2.82271473608513	3.12769826029273	3.00514025375565	3.1488094962166	3.24409841414101	3.04638750905595	3.2835147337963	3.20220897160262	3.13934072676181	3.32285319050955	3.14179508526514	2.91535591076957	2.9066268745804	2.74342839963275	2.78356923195805	2.81943737552317	2.64567414815748	2.77377816956508	2.72079685654077	2.75684032422641
YAL062W	4.30863603349987	4.79083210846783	5.60931700501164	5.25627868982547	4.62607544882235	4.45778541553914	4.50083346684537	4.42390656064193	4.25513321328317	4.27502823276604	4.29035835190664	4.37310723227889	4.26657639850448	4.30613864711686	4.42423566406497	4.5848868776245	4.13512095951661	4.37968378857503	4.50945915090429	4.49610359540937	4.44442953975218	4.76426812955409	4.50590170941085	4.5187920709081	4.69269824651192	4.70838822822016	4.30892108572588	4.31598027986093	4.56400753570767	4.59569576340572	4.59371975330751	4.58208565007281	4.56620292339622	4.49508074790729	4.56902552031795	4.70339174182208
YAL061W	4.8606387529831	5.34368840367585	6.00654386888631	5.42536761675685	5.14445577589158	5.11163667420205	5.23146340073911	4.95658892156612	4.83389628813442	4.7516098862902	4.55098264324641	4.45735522211867	4.39736124030192	4.42389721019017	4.54940648142643	4.36184261089995	4.38599410478465	4.42053317823773	4.67443306246002	4.54070065943742	4.47148826053284	4.68738670738312	4.6764879510459	4.81988491733059	4.9494533744081	5.1609930864866	4.31934415395127	4.653269671479	4.77003173486594	4.52811645879331	4.72232970293071	4.61465659637379	4.80004472758505	4.76571476184746	4.84428530483351	4.68285681266632
YAL060W	7.72154847539571	7.84625608602147	8.96617564571332	8.82916959453208	8.43095921665275	7.89905828591545	7.67774967159156	7.49494268734865	7.29812609480561	6.9775554701407	6.86961684088912	6.85898718341829	6.96218458046687	7.09464045638401	7.29599590161155	7.23743354890488	7.28301260627012	7.31865143856675	7.30011331468524	7.27586570183597	7.25602152722391	7.13185359403523	7.15854344630684	7.25012769447824	7.43035053386285	7.72684611333808	7.74085362530407	7.8564323488294	7.98770391594969	8.12395654543404	7.99565509383866	7.99841444998935	7.91340087757695	7.93300412161448	7.92762048901037	8.01424338943257
