	25min	30min	35min	40min	45min	50min	55min	60min	65min	70min	75min	80min	85min	90min	95min	100min
YAL067C	1.43460109400299	1.5795219614012	2.39511441569057	2.55619072602389	2.72864759434638	2.22561432748601	1.96429363463803	1.64820530747843	1.63317040020466	1.53020909173514	1.98650174890261	1.22810707563618	0.954114923395963	1.03329112913539	1.4185042120195	1.79089069096497
YAL065C	-0.368474850948024	-0.460031097738269	-0.177973819967547	-0.0942770043099429	-0.294021554546249	-0.241199371204384	0.0419441228772094	-0.107181349801097	0.0133901986674259	0.00832747991384037	0.0226834113122558	-0.696475299245245	-0.705397151841245	0.81512550218486	-0.111017866897451	-0.696227547958168
YAL064W-B	-0.146937210332823	-1.03240945256861	-0.294128675018596	-0.623144975047573	-0.914063310207184	-1.61450882961243	-0.453519897521379	-0.0149675993104932	0.0133901986674259	-0.314564456681654	-0.124035780867094	0.140620856581259	0.600346576208899	0.123311561712313	-0.38250788610552	-0.277156818702981
YAL064C-A	1.39987748332459	2.00019400265168	1.90914102293137	1.50292078602812	1.19993780130739	1.26569993502146	1.4034874296971	1.43588649302038	1.69463355427428	2.29432034321747	2.74699880255259	2.408256776488	2.42440016161836	2.53126045156036	2.69711564062039	2.39594746421746
YAL064W	-1.62315909840158	-0.583265773675201	-1.30296705147235	-2.01875211490221	-1.72385487823545	-0.356405178984617	-0.86062416773762	-0.549440249664302	-0.897546897848092	-0.731209791139478	-0.930444033529235	-1.76835292147973	-1.02063498073746	-0.711926466224798	-0.919054396084384	-1.55720708760027
YAL063C-A	0.949859756597228	1.06758153757675	0.210960916614346	1.21205980518854	1.08836922731783	1.05642563762549	0.649049230450974	1.14747191647177	1.01569739929989	0.62633876723943	-0.471614768993744	0.338163739825549	0.812974008303041	1.28076048968272	0.909906858103283	0.844811891449566
YAL063C	3.17036629678931	3.20761891115727	2.99915958058878	3.20420051789137	2.92545369424243	2.95027436149248	2.7728949046449	2.81890660585687	3.09925120111826	2.81898212205915	2.76795593192781	2.82533054855511	3.13729441117298	3.0141157938798	3.16139283218863	3.2573952855173
YAL062W	4.47956807905972	4.53021231311947	4.44224581553602	4.26460755538594	4.28595640101703	4.29841404779232	4.38537013225706	4.2759978737948	4.31054778100665	4.42703372974784	4.58506376554142	4.13771897338146	4.3893277206201	4.51848616597854	4.50876331971203	4.45779852125521
YAL061W	5.13345766849711	5.26090016645551	4.97495495043911	4.84338270863987	4.76255097814281	4.55904265313211	4.46962103623552	4.40678582665204	4.42830645917681	4.5522038347256	4.36202319730753	4.38859020372335	4.430178075702	4.68346310547119	4.55336188933302	4.48485827432727
YAL060W	7.9209364476604	7.70725815817232	7.51335834392794	7.30763255207991	6.98852251963607	6.87769427125061	6.87129228584266	6.97163641158864	7.09905084615702	7.29878656626149	7.23759183381154	7.28559997630183	7.32832544198385	7.3091643019107	7.28856768503907	7.26943815120869
