source	target	Weight_1>2	Weight_2>3	Weight_3>4	Weight_4>5	Weight_5>6	Weight_6>7	Weight_7>8	Weight_8>9	Weight_9>10	Weight_10>11	Weight_11>12	Weight_12>13	Weight_13>14	Weight_14>15	Weight_15>16
YDR146C	YDR146C	0.5884281925282577	0.4783175494565202	0.2983301716120144	0.2137783984830781	0.3944390429305171	0.4730071461256219	0.5182135328423761	0.5263994858105634	0.4874611639824834	0.39543070065550345	0.2488702774296411	0.11566258175992095	0.045021959185884176	0.19087104608230512	0.29724719312575354
YPR019W	YPR019W	0.11974954457666448	0.254600108386979	0.37023933564734507	0.4000462965816435	0.3591574546229574	0.20766300229448428	0.12638741957008978	0.2139786394922273	0.2850045018497584	0.2951007541988247	0.27011863612139003	0.25138530616474963	0.2246137121198667	0.17272387602872186	0.07843736857589159
YPL256C	YPL256C	0.4142557877460664	0.3686586742938578	0.3261126670098269	0.1940762260705292	0.14060426219872973	0.3202439515622298	0.5050150448386677	0.5791612211965961	0.5803974758684439	0.4741517961414845	0.19308455358304472	0.13738362609970292	0.2698407066669368	0.3101431069004321	0.3285563838462083
YDL003W	YDL003W	0.4535118864007203	0.4001211024000232	0.30217629691507325	0.13407613663501108	0.18853565966114652	0.3483056761171857	0.4826369511003066	0.5642149193264956	0.5726097110094599	0.4557611845249288	0.2340670534831844	0.2219029382364984	0.25764039315055265	0.2538868836477663	0.2572682707071766
YCL024W	YCL024W	0.41993116902760996	0.3232452456784374	0.19085960227167706	0.18298618169623665	0.3756544671685199	0.4868232126969593	0.5731121994582561	0.5827584648992297	0.4490322426283409	0.2421390162740677	0.2376603782676265	0.33316627543448624	0.35352193089029466	0.32281928223511724	0.28177469001008665
YDL155W	YDL155W	0.07774110342963991	0.1493711886182227	0.1874044147969248	0.14408123116704366	0.12831832887371974	0.1234162173107869	0.05672423011317096	0.05254933703889856	0.1300325940776745	0.1290745823207097	0.09645523437161696	0.11500038437698322	0.12515538799922174	0.07664448083529596	0.05102472888690029
YCR084C	YCR084C	0.08266239015637443	0.14723590697711475	0.2014754182529497	0.2094860077150967	0.19992238643145052	0.16424922838603048	0.07464060769425923	0.040523219081297766	0.11109576569455733	0.1962553183884568	0.1939958191391601	0.14031027281972314	0.1389871171110402	0.12167917697010587	0.05747031671017831
YDL188C	YDL188C	0.1203786600251458	0.13473924351369512	0.0954277817511533	0.027752454386056228	0.012733023779366848	0.02258133150123954	0.04668367863101755	0.050065964885074025	0.045258715251756516	0.0637023640356981	0.08471247258390173	0.11635012443736115	0.11834564001021795	0.10007943659639802	0.10056583466388128
YGR113W	YGR113W	0.0568772927665021	0.10079461173264724	0.15262676529520575	0.18223743706131695	0.21864558844943036	0.1756952499915841	0.0760999808285212	0.015828601693681037	0.10189397120633707	0.14536628106506122	0.1505298660435846	0.20277412296260905	0.1323921836937522	0.034586733962973334	0.058841769812863425
YFR034C	YFR034C	0.008847656936838089	0.04170089625227688	0.11981251243934682	0.1972711490210238	0.21103353058934754	0.16956448780307404	0.16719003727637624	0.12576005803730414	0.10764412816069603	0.15429455734048414	0.12903592433051794	0.11110093627131744	0.17717991249654855	0.2218492606088174	0.200476330290878
