,isQuery2
YLR274W_1,False
YLR274W_2,False
YLR274W_3,True
YLR274W_4,True
YLR274W_5,True
YLR274W_6,True
YLR274W_7,True
YLR274W_8,False
YLR274W_9,False
YFR028C_1,False
YFR028C_2,False
YFR028C_3,False
YFR028C_4,False
YFR028C_5,False
YFR028C_6,False
YFR028C_7,False
YFR028C_8,False
YFR028C_9,False
YIL106W_1,True
YIL106W_2,True
YIL106W_3,True
YIL106W_4,False
YIL106W_5,False
YIL106W_6,False
YIL106W_7,True
YIL106W_8,True
YIL106W_9,True
YBR060C_1,False
YBR060C_2,False
YBR060C_3,False
YBR060C_4,False
YBR060C_5,False
YBR060C_6,False
YBR060C_7,False
YBR060C_8,False
YBR060C_9,False
YBR133C_1,False
YBR133C_2,False
YBR133C_3,False
YBR133C_4,False
YBR133C_5,False
YBR133C_6,False
YBR133C_7,False
YBR133C_8,False
YBR133C_9,False
YLR103C_1,True
YLR103C_2,True
YLR103C_3,True
YLR103C_4,False
YLR103C_5,False
YLR103C_6,False
YLR103C_7,True
YLR103C_8,True
YLR103C_9,True
YDR052C_1,False
YDR052C_2,False
YDR052C_3,False
YDR052C_4,False
YDR052C_5,False
YDR052C_6,False
YDR052C_7,False
YDR052C_8,False
YDR052C_9,False
YJR053W_1,False
YJR053W_2,False
YJR053W_3,False
YJR053W_4,True
YJR053W_5,True
YJR053W_6,False
YJR053W_7,False
YJR053W_8,False
YJR053W_9,False
YDR180W_1,False
YDR180W_2,False
YDR180W_3,False
YDR180W_4,False
YDR180W_5,False
YDR180W_6,False
YDR180W_7,False
YDR180W_8,False
YDR180W_9,False
YML027W_1,True
YML027W_2,True
YML027W_3,True
YML027W_4,False
YML027W_5,False
YML027W_6,False
YML027W_7,True
YML027W_8,True
YML027W_9,True
YDL101C_1,True
YDL101C_2,False
YDL101C_3,False
YDL101C_4,False
YDL101C_5,False
YDL101C_6,False
YDL101C_7,False
YDL101C_8,False
YDL101C_9,False
YAL016W_1,False
YAL016W_2,False
YAL016W_3,False
YAL016W_4,False
YAL016W_5,False
YAL016W_6,False
YAL016W_7,False
YAL016W_8,False
YAL016W_9,False
YLR210W_1,False
YLR210W_2,False
YLR210W_3,False
YLR210W_4,False
YLR210W_5,False
YLR210W_6,False
YLR210W_7,False
YLR210W_8,False
YLR210W_9,False
YDR507C_1,True
YDR507C_2,False
YDR507C_3,False
YDR507C_4,False
YDR507C_5,False
YDR507C_6,False
YDR507C_7,False
YDR507C_8,True
YDR507C_9,True
YPR111W_1,False
YPR111W_2,False
YPR111W_3,False
YPR111W_4,False
YPR111W_5,False
YPR111W_6,False
YPR111W_7,False
YPR111W_8,False
YPR111W_9,False
YCL024W_1,True
YCL024W_2,True
YCL024W_3,False
YCL024W_4,False
YCL024W_5,False
YCL024W_6,True
YCL024W_7,True
YCL024W_8,True
YCL024W_9,True
YFL029C_1,False
YFL029C_2,False
YFL029C_3,False
YFL029C_4,False
YFL029C_5,False
YFL029C_6,False
YFL029C_7,False
YFL029C_8,False
YFL029C_9,False
YLR086W_1,False
YLR086W_2,False
YLR086W_3,False
YLR086W_4,False
YLR086W_5,False
YLR086W_6,False
YLR086W_7,False
YLR086W_8,False
YLR086W_9,False
YFR034C_1,False
YFR034C_2,False
YFR034C_3,False
YFR034C_4,False
YFR034C_5,False
YFR034C_6,False
YFR034C_7,False
YFR034C_8,False
YFR034C_9,False
YGR188C_1,False
YGR188C_2,False
YGR188C_3,True
YGR188C_4,True
YGR188C_5,False
YGR188C_6,False
YGR188C_7,False
YGR188C_8,False
YGR188C_9,True
YMR199W_1,True
YMR199W_2,False
YMR199W_3,False
YMR199W_4,False
YMR199W_5,False
YMR199W_6,False
YMR199W_7,False
YMR199W_8,True
YMR199W_9,True
YHR152W_1,False
YHR152W_2,False
YHR152W_3,True
YHR152W_4,True
YHR152W_5,True
YHR152W_6,False
YHR152W_7,False
YHR152W_8,True
YHR152W_9,True
YBR202W_1,False
YBR202W_2,False
YBR202W_3,True
YBR202W_4,True
YBR202W_5,True
YBR202W_6,False
YBR202W_7,False
YBR202W_8,False
YBR202W_9,True
YOR368W_1,False
YOR368W_2,False
YOR368W_3,False
YOR368W_4,False
YOR368W_5,False
YOR368W_6,False
YOR368W_7,False
YOR368W_8,False
YOR368W_9,False
YLR182W_1,False
YLR182W_2,False
YLR182W_3,False
YLR182W_4,False
YLR182W_5,False
YLR182W_6,False
YLR182W_7,False
YLR182W_8,False
YLR182W_9,False
YOR083W_1,False
YOR083W_2,False
YOR083W_3,False
YOR083W_4,False
YOR083W_5,False
