Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YLR274W	True	0.11015730564407328	0.06952819685382093	0.2733822686125361	0.3841926687902399	0.492974546480953	0.5067419026171279	0.2803812496917619	0.05209767313561733	0.22170460211474255	0.3511083356032338	0.331506431996881	0.3013576731792402	0.25992451778973763	0.1934085690150679	0.15244399105944825	0.09033179047325388	False	False	True	True	True	True	True	False	False	True	True	True	True	False	False	False
YFR028C	True	0.07593736440424903	0.02230663413515121	0.07397618237622673	0.10093711663133878	0.14658778631651653	0.1338211512045586	0.10557868955339483	0.059067891632237864	0.02460021464748996	0.038256075775933984	0.06346901249052357	0.06325409001111762	0.12199818885939305	0.07807547430973337	0.0477737179343099	0.058102860191682676	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YIL106W	True	0.3246827276251125	0.298411877741341	0.2973014554439041	0.05290770961904225	0.08368202455769518	0.2426583607051886	0.3347842208255627	0.35712942495811834	0.34258218134541324	0.31522601082412155	0.12219258526005483	0.02551479744619754	0.0422547764682398	0.11191084227344192	0.15428578691385295	0.13414532104242374	True	True	True	False	False	False	True	True	True	True	False	False	False	False	False	False
YBR060C	True	0.01607410769323841	0.002987396259543259	0.026305061491977748	0.015384670377648225	0.015350871985595434	0.009228235570377672	0.011159395128696991	0.04975399265421023	0.07475473477142555	0.017510680675621917	0.0672171357359176	0.00917770845199364	0.0059278399010266394	0.02094398574444508	0.004351424377286318	0.012672626790173658	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBR133C	True	0.12596486680610194	0.03838785847680605	0.02193186593212794	0.04382053355146637	0.08796847468001147	0.12480919853669135	0.06481008433323321	0.0596356658503627	0.02488798468123302	0.010062906994238213	0.040878155703882826	0.07999933677351663	0.04736206607968384	0.0012766466388326513	0.012123657599430092	0.0036448616944501867	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YLR103C	True	0.39533833390808704	0.2939858675650461	0.2742778387817975	0.07511225583164532	0.008827468524395737	0.13820381891378175	0.3420941263595619	0.5696764620650862	0.4893364179360379	0.41708973635358304	0.09430721028864718	0.05260557442441155	0.1243961455207924	0.12908215263563727	0.09158263659562407	0.11986286608169965	True	True	True	False	False	False	True	True	True	True	False	False	False	False	False	False
YDR052C	True	0.04047664901562533	0.018588690270730887	0.07873435082202447	0.016356117229548953	0.043415319656585016	0.006481757875911598	0.0247593669999571	0.0390320354068824	0.08349205895937503	0.031021724466592668	0.010568970373419232	0.010812673138223459	0.012477192917309966	0.035524208779560335	0.0029666525205204203	0.03208879127294041	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YJR053W	True	0.002480641534522189	0.0939999234994526	0.2478632195465485	0.2512665112264232	0.2823487644793433	0.2253595771962864	0.10905121997338607	0.006022321565247408	0.11910403007997705	0.2500840121715837	0.21744437773434355	0.2188468526677654	0.204831816321314	0.16610107579784605	0.049882891670082016	0.004283184679205535	False	False	False	True	True	False	False	False	False	True	False	False	False	False	False	False
YDR180W	True	0.19637333160674247	0.08507240370267302	0.02315887723405552	0.0077515003523144065	0.04863134497879017	0.07313208997275157	0.1161236213329263	0.20445730500998804	0.1437503760903723	0.12307587315389265	0.002860259691273748	0.060354601433278525	0.07196159605558514	0.04570736086583288	0.018757491776738255	0.03800809926601942	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YML027W	True	0.476809537590961	0.29391954970458944	0.2685379970896345	0.1969188351474883	0.08644550647196815	0.09757419659835008	0.2707230607362688	0.5367628434161036	0.6066088354040056	0.6125169962907255	0.22249475437674066	0.0242317520454976	0.13176063163001248	0.09399152314349543	0.08553040434178516	0.1390180672748783	True	True	True	False	False	False	True	True	True	True	False	False	False	False	False	False
