source	target	Weight	edge type
Q0045	Q0085	1.0	PPI
Q0045	Q0105	1.0	PPI
Q0045	Q0250	1.0	PPI
Q0045	Q0275	1.0	PPI
Q0045	YBL045C	1.0	PPI
Q0045	YBR255C-A	1.0	PPI
Q0045	YCL017C	1.0	PPI
Q0045	YDL067C	1.0	PPI
Q0045	YDR119W-A	1.0	PPI
Q0045	YDR231C	1.0	PPI
Q0045	YER154W	1.0	PPI
Q0045	YGL187C	1.0	PPI
Q0045	YGL191W	1.0	PPI
Q0045	YGR033C	1.0	PPI
Q0045	YGR112W	1.0	PPI
Q0045	YHR001W-A	1.0	PPI
Q0045	YHR051W	1.0	PPI
Q0045	YIL157C	1.0	PPI
Q0045	YIR024C	1.0	PPI
Q0045	YJL003W	1.0	PPI
Q0045	YJL062W-A	1.0	PPI
Q0045	YJR045C	1.0	PPI
Q0045	YKL192C	1.0	PPI
Q0045	YKR016W	1.0	PPI
Q0045	YLR203C	1.0	PPI
Q0045	YLR395C	1.0	PPI
Q0045	YML030W	1.0	PPI
Q0045	YML129C	1.0	PPI
Q0045	YMR256C	1.0	PPI
Q0045	YNL052W	1.0	PPI
Q0045	YNR017W	1.0	PPI
Q0045	YNR018W	1.0	PPI
Q0045	YNR020C	1.0	PPI
Q0045	YOR020C	1.0	PPI
Q0045	YPL172C	1.0	PPI
Q0045	YPR191W	1.0	PPI
Q0050	YDL229W	1.0	PPI
Q0050	YEL030W	1.0	PPI
Q0050	YJR045C	1.0	PPI
Q0050	YKR016W	1.0	PPI
Q0050	YNL064C	1.0	PPI
Q0050	YNL209W	1.0	PPI
Q0050	YNL227C	1.0	PPI
Q0050	YPR140W	1.0	PPI
Q0055	YDL229W	1.0	PPI
Q0055	YGL187C	1.0	PPI
Q0055	YKR016W	1.0	PPI
Q0065	YAL005C	1.0	PPI
Q0065	YGL187C	1.0	PPI
Q0065	YKR016W	1.0	PPI
Q0070	YAL005C	1.0	PPI
Q0070	YBL075C	1.0	PPI
Q0070	YDL229W	1.0	PPI
Q0070	YGL187C	1.0	PPI
Q0070	YKR016W	1.0	PPI
Q0070	YMR186W	1.0	PPI
