Node	Core	Weight_1	Weight_2	Weight_3	Weight_4	Weight_5	Weight_6	Weight_7	Weight_8	Weight_9	Weight_10	Weight_11	Weight_12	Weight_13	Weight_14	Weight_15	Weight_16	Query_1	Query_2	Query_3	Query_4	Query_5	Query_6	Query_7	Query_8	Query_9	Query_10	Query_11	Query_12	Query_13	Query_14	Query_15	Query_16
YLL049W	False	0.01801338820221574	0.006422884676140739	0.027715130778656418	0.0343303503651394	0.04496415292140672	0.05815949514453912	0.02951283002519691	0.027044858277683773	0.04833916871013266	0.018188699959788147	0.06485920049543081	0.034393305494710424	0.03782751410137135	0.025642995344183846	0.026671689420976058	0.02089368069343835	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YER009W	False	0.006000831858037014	0.01398376376465846	0.027959100244965743	0.04044304658520198	0.01651983406192025	0.047915692873786365	0.055590484632589504	0.017419719866299106	0.014434919753219009	0.1410071980395446	0.051644123488749215	0.06362654892841182	0.07257282281298362	0.07381419402472955	0.08109871671941442	0.04737974148973925	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YHR011W	False	0.2339872930258308	0.15731481372009246	0.057268876338979265	0.11627598955115848	0.19339977394963453	0.3060836810283178	0.3930463416668477	0.3062455636073961	0.2152404255584328	0.1351097173370818	0.08951582311678206	0.1856023461409236	0.2131456538643483	0.17166012878923007	0.12770434384905904	0.10822273694189824	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False
YBL055C	False	0.01468026341813561	0.03399735118520065	0.049278900444101	0.043165358342808435	0.09397419975055908	0.05348678676604754	0.03407649390508655	0.009045205592400705	0.004634194699076564	0.09455642993368372	0.058840427956519475	0.06941568606575224	0.045831825963916786	0.03052071945234338	0.010160700054665982	0.052362371305990786	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YJR139C	False	0.009262950871908484	0.02432093775115269	0.049238367465956535	0.06468373136157303	0.03960583132174266	0.04308944259165623	0.020195613412730018	0.03861813106848249	0.023907926815197263	0.06939427610456185	0.04826207890851128	0.025220494992290142	0.009500534419295973	0.0349068432879513	0.034740618933261636	0.017144308578904383	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YJL172W	False	0.028973873881686006	0.04488775614659158	0.051301770985394415	0.03581932357849437	0.0419730251964249	0.00897046638921853	0.010003224125950129	0.012729487073143416	0.0061246275146117825	0.07173021053280086	0.05593473335072633	0.03870114505749543	0.012324970151886027	0.006929070923340923	0.003629453977752269	0.030618621393112926	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YER102W	False	0.07873583856709901	0.05662905472088905	0.028790875570984625	0.07337274872695759	0.075181481955938	0.0584647371065379	0.055343409018290594	0.005962453646394699	0.011572010883167241	0.06188511885230049	0.06380964710892957	0.026159767447014502	0.04584303356242437	0.08580423191626538	0.0755417409681591	0.061704535183255166	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YOR217W	False	0.033250394663924036	0.030116387789533607	0.017677076802568758	0.05742832167860161	0.049784354167145294	0.10537157355184552	0.0012913735739834742	0.001829251947262835	0.03349188273728475	0.018343806884831386	0.09168360700699199	0.07569129095430213	0.0693162199383336	0.02802652329671624	0.048586525292742315	0.015992340235828382	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YLR441C	False	0.005747029897137346	0.01713648456662475	0.03177542657290832	0.026607144729734425	0.006779693407217294	0.02903125405132675	0.011847609430894388	0.01987801984047723	0.03985780952534762	0.022658491623257903	0.011552450835464663	0.0450786798544329	0.02768274196184953	0.013461229301220231	0.01232524185775436	0.017177707676900474	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YPL253C	False	0.003953464504002404	0.021138650586968045	0.008251433354024333	0.047574535953243534	0.02584485037775561	0.06300717048351705	0.011533930026868693	0.02648972070498873	0.012911570431483686	0.016342179123815463	0.02584105833547033	0.06821537118365212	0.04231520939592465	0.0012957644231565914	0.008333444883470964	0.007218070228120356	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YCL052C	False	0.1471965015458006	0.10509193581905714	0.09643626452576888	0.059619436066988316	0.002153420796143964	0.08029901507187555	0.1401474546475133	0.1437162952756769	0.17256616444777045	0.08757168199279958	0.026261892725150147	0.020115102309414	0.012350382381898823	0.040633914872878166	0.03151529114025322	0.0034807949865252067	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YMR196W	False	0.02976280292358377	0.010567836722309388	0.0322258755911042	0.05706239900913152	0.027564480775424626	0.024636168064856388	0.0915716674003532	0.027440086554152542	0.009983698682266482	0.009228000748197678	0.12645193003515193	0.05827824438426168	0.039617049225581485	0.012964601238122936	0.010811559364877555	0.02550743877199161	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YBL052C	False	0.04554691617827561	0.0034798811325216037	0.039830917342943334	0.1260163601402492	0.11534277981313143	0.12919749780517142	0.11728286732984072	0.0127263809514086	0.018877753216231648	0.020352871276132337	0.021715131793704046	0.06385589885879353	0.06551070527650707	0.09631437230274492	0.1034454000814944	0.0741982050236663	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
YHR136C	False	0.042320132323367794	0.04168456086492743	0.07754002162663845	0.058886848920782976	0.011369645403209236	0.03600365163125994	0.052830276684248716	0.026466419820696682	0.007379994774905777	0.004710600608658185	0.020760468627455196	0.05650238505349865	0.06456910187008864	0.05867620402897938	0.06253248525322043	0.060114424623593135	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
