source	target	Weight	edge type
YAL016W	YAL024C	0.297316960498388	PPI
YAL016W	YDL134C	0.3785511854426029	PPI
YAL016W	YDL188C	0.374090898044847	PPI
YAL016W	YFR028C	0.24033414239346	PPI
YAL016W	YGL190C	0.3795899102979425	PPI
YAL016W	YPL256C	0.2393428503214585	PPI
YAL024C	YBL097W	0.2924512779934465	PPI
YAL024C	YBR160W	0.3095163565952536	PPI
YAL024C	YFR028C	0.2972826937445235	PPI
YAL024C	YIL046W	0.2286667881437965	PPI
YAL024C	YML064C	0.229153332945432	PPI
YAL024C	YPR119W	0.2393428503214585	PPI
YAL040C	YBR160W	0.380363641795585	PPI
YAL040C	YDL132W	0.2393428503214585	PPI
YAL040C	YFL009W	0.3201882258922085	PPI
YAL040C	YJL013C	0.3000724912417	PPI
YAL040C	YJL157C	0.3250399975387645	PPI
YAL040C	YJR090C	0.2393428503214585	PPI
YAL040C	YLR182W	0.2576276382688785	PPI
YAL040C	YOL001W	0.229153332945432	PPI
YAL040C	YPL031C	0.2972826937445235	PPI
YAR019C	YDL028C	0.25051347269159	PPI
YAR019C	YDL101C	0.25051347269159	PPI
YAR019C	YFR028C	0.3274011301141155	PPI
YAR019C	YGR092W	0.28040773883757203	PPI
YAR019C	YIL106W	0.25051347269159	PPI
YAR019C	YML064C	0.3727874729654955	PPI
YAR019C	YMR001C	0.25051347269159	PPI
YAR071W	YBR093C	0.246659684585868	PPI
YBL016W	YBL023C	0.25051347269159	PPI
YBL016W	YEL032W	0.25051347269159	PPI
YBL016W	YFR028C	0.2677853618105365	PPI
YBL016W	YGR040W	0.2286667881437965	PPI
YBL016W	YJL076W	0.2444534720555225	PPI
YBL016W	YJL157C	0.33320526706521303	PPI
YBL023C	YBR060C	0.314604513635771	PPI
YBL023C	YBR202W	0.343974563013023	PPI
YBL023C	YCL061C	0.3430859950508035	PPI
YBL023C	YDL017W	0.3811672861093929	PPI
YBL023C	YDL056W	0.2227015940670385	PPI
YBL023C	YDR052C	0.3688434627318205	PPI
YBL023C	YEL032W	0.37851948430695104	PPI
YBL023C	YER111C	0.203297811104793	PPI
YBL023C	YGL201C	0.3782439688878065	PPI
YBL023C	YGR040W	0.25051347269159	PPI
YBL023C	YHR118C	0.3031288917275949	PPI
YBL023C	YJL194W	0.361085862365172	PPI
YBL023C	YJR046W	0.3770185671820421	PPI
YBL023C	YLL004W	0.3012108895773855	PPI
YBL023C	YLR103C	0.38267349006692347	PPI
YBL023C	YLR182W	0.2227015940670385	PPI
YBL023C	YLR274W	0.3758450478588215	PPI
YBL023C	YML065W	0.3166078015463295	PPI
YBL023C	YNL261W	0.33494924988720304	PPI
YBL023C	YPL031C	0.25051347269159	PPI
YBL023C	YPR019W	0.382291119436484	PPI
YBL023C	YPR120C	0.2677853618105365	PPI
YBL023C	YPR162C	0.284449468271607	PPI
YBL084C	YBR135W	0.2393428503214585	PPI
YBL084C	YBR160W	0.3012000996015769	PPI
YBL084C	YDL008W	0.33560020858158	PPI
YBL084C	YDL134C	0.25051347269159	PPI
YBL084C	YDL188C	0.25051347269159	PPI
YBL084C	YDR118W	0.367460201926685	PPI
YBL084C	YDR260C	0.3543113037993565	PPI
YBL084C	YFR036W	0.34350109170132204	PPI
YBL084C	YGL003C	0.33815381115699394	PPI
YBL084C	YGL116W	0.2393428503214585	PPI
YBL084C	YGL240W	0.365751965134844	PPI
YBL084C	YHR166C	0.37506399453959854	PPI
YBL084C	YKL022C	0.382932108865266	PPI
YBL084C	YLR102C	0.320908865567781	PPI
YBL084C	YLR127C	0.3762080541402589	PPI
YBL084C	YMR001C	0.25051347269159	PPI
YBL084C	YNL172W	0.3667062857383275	PPI
YBL084C	YOR249C	0.350961536354057	PPI
YBL084C	YPL031C	0.25051347269159	PPI
YBL097W	YDR325W	0.3054553977260835	PPI
YBL097W	YFR031C	0.328286460275169	PPI
YBL097W	YLR086W	0.328286460275169	PPI
YBL097W	YLR272C	0.310537437356593	PPI
YBR060C	YBR160W	0.31302555806195753	PPI
YBR060C	YBR202W	0.25051347269159	PPI
YBR060C	YDL017W	0.24033414239346	PPI
YBR060C	YDR052C	0.3161075766254265	PPI
YBR060C	YEL032W	0.25051347269159	PPI
YBR060C	YFR028C	0.2617393741873775	PPI
YBR060C	YGL086W	0.2469007897921756	PPI
YBR060C	YHR118C	0.3623668721061569	PPI
YBR060C	YJL194W	0.370551615837794	PPI
YBR060C	YJR046W	0.2642680930418955	PPI
YBR060C	YLL004W	0.36384182689734856	PPI
YBR060C	YLR274W	0.25051347269159	PPI
